Type,Entity,Company Number,OSCAR CPID
Academy Trust,Gateway Learning Community,05853746,CAD022
Academy Trust,The John Henry Newman Catholic College,07414011,CAD022
Academy Trust,Abbey Multi Academy Trust,07705552,CAD022
Academy Trust,The Abbey School (Faversham),07697086,CAD022
Academy Trust,Assisi Catholic Trust,07696989,CAD022
Academy Trust,Peaslake Free School Limited,07925067,CAD022
Academy Trust,Peatmoor Community Primary School,08714452,CAD022
Academy Trust,Abney Trust,09912859,CAD022
Academy Trust,Jigsaw Learning Trust,08277622,CAD022
Academy Trust,The Gateway Primary Academy,08830753,CAD022
Academy Trust,Hungerford Primary Academy,09361618,CAD022
Academy Trust,Abraham Guest Academy Trust,07820566,CAD022
Academy Trust,Academies Enterprise Trust,06625091,CAD022
Academy Trust,Sharnbrook Primary,08370592,CAD022
Academy Trust,The Academy @ Ridgewood Trust,07795736,CAD022
Academy Trust,Arden Grove Infant and Nursery School,08510814,CAD022
Academy Trust,Arden Multi Academy Trust,07375267,CAD022
Academy Trust,UTC@Harbourside,08291429,CAD022
Academy Trust,Malet Lambert,09643856,CAD022
Academy Trust,Trinity Church of England High School,07878966,CAD022
Academy Trust,The Archer Academy,07952786,CAD022
Academy Trust,Aspire Free School Academy Trust,08330636,CAD022
Academy Trust,Mowbray Education Trust Limited,07796947,CAD022
Academy Trust,Aston University Engineering Academy Birmingham,07166427,CAD022
Academy Trust,Astwood Bank Primary School,08637890,CAD022
Academy Trust,Aurum Academies Trust,07971651,CAD022
Academy Trust,Marston Green Infant Trust,08886004,CAD022
Academy Trust,Shavington Academy,09587693,CAD022
Academy Trust,Barnsbury Primary School and Nursery,08798425,CAD022
Academy Trust,ARK Schools,05112090,CAD022
Academy Trust,John Kyrle High School & Sixth Form Centre,07465249,CAD022
Academy Trust,Battling Brook Primary School,08512087,CAD022
Academy Trust,Baxter College,08158232,CAD022
Academy Trust,Bay Education Trust,09299975,CAD022
Academy Trust,The Thames Learning Trust,07662414,CAD022
Academy Trust,Beacon Community College Academy Trust,07959980,CAD022
Academy Trust,Beacon Hill Academy,08183461,CAD022
Academy Trust,"Beacon School, The",07836232,CAD022
Academy Trust,Beaconsfield High School,08679235,CAD022
Academy Trust,Beaconsfield School,08257392,CAD022
Academy Trust,Muscliff Primary School,09872386,CAD022
Academy Trust,Beacon Multi-academy Trust Limited,07835788,CAD022
Academy Trust,Beaufort Primary School,08749901,CAD022
Academy Trust,Mildmay Junior School,09295450,CAD022
Academy Trust,Ridgeway Education Trust,08104201,CAD022
Academy Trust,Beaumont School,08104190,CAD022
Academy Trust,M20 Learning Trust,08698831,CAD022
Academy Trust,Beckfoot Trust,08155088,CAD022
Academy Trust,Bedfordshire Schools Trust Limited,07546141,CAD022
Academy Trust,Bedminster Down School,07829616,CAD022
Academy Trust,Beis Yaakov Jewish High School Academy,08140850,CAD022
Academy Trust,Belgrave St. Bartholomew’s Academy,07552598,CAD022
Academy Trust,Belle Vue Girls' School,07968130,CAD022
Academy Trust,Bridge Academy Trust,07663795,CAD022
Academy Trust,Bellerive FCJ Catholic College,08028387,CAD022
Academy Trust,St Peter's Catholic Voluntary Academy Trust,07739194,CAD022
Academy Trust,Bellevue Place Education Trust,07956784,CAD022
Academy Trust,Lancaster Girls' Grammar School,07441463,CAD022
