"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"1st Camelsdale Scout Association","1055677",0,"1st Camelsdale Scout Group","268462",0,"","2014-01-10","2014-05-12"
"1st Queen's Dragoon Guards Regimental Association Including The Benevolent Fund","262628",0,"1st The Queen's Dragoon Guards Regimental Trust","274689",0,"2016-12-31","2016-12-31","2017-03-28"
"2 Bridges Drug and Alcohol Trust (2BDAT)","1103164",0,"The Drugs and Homeless Initiative (DHI)","1078154",0,"","2008-05-09","2008-05-09"
"277 (AXSH) Fd Regt (unregistered)","","","Royal Artillery Charitable Fund","210202",0,"","2008-01-01","2008-01-01"
"2nd Solihull (Lode Lane) Scout Group","524603",0,"Solihull County Scout Council","505527",0,"","2012-07-31","2012-09-27"
"2nd/8th Stockport (St Marks) Scout Group","520249",0,"1st Cheadle Heath (Elks Own) Scout group","520258",0,"","2010-08-09","2011-06-14"
"4th Queens Own Hussars Regimental Association","208432",0,"The Queen's Royal Hussars (The Queen's Own Royal Irish) Regimental Charity","1043673",0,"","2013-06-08","2013-06-08"
"4th West Lancs OCA","210202","5","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"61st (Denbighshire Yeomanry) Medium Regiment OCA (unregistered)","","","Royal Artillery Charitable Fund","210202",0,"","2008-01-01","2008-01-01"
"6th Richmond (Lady Archer's Own) Scout Group","303821",0,"Richmond upon Thames District Scout Council","289912",0,"","2012-01-04","2013-02-15"
"96.3 Radio Aire & Magic 828's Cash for Kids","119842",0,"Bauer Radio's Cash for Kids Charities","1122062",0,"","2010-03-31","2010-04-29"
"A.J.R. Charitable Trust","211239",0,"The Association of Jewish Refugees (AJR)","1149882",0,"","2013-01-01","2013-07-31"
"A1 Football Community Trust","1162184",0,"A1 Football Community Trust","1166155",0,"2016-07-10","2016-07-10","2016-10-14"
"Abergwili Community Charity","523878",0,"Abergwili Relief In Need Charity","230427",0,"2014-05-28","2014-05-30","2014-03-06"
"ABF The Soldiers' Charity","211645",0,"ABF The Soldiers' Charity","1146420",0,"","2015-09-03","2015-03-16"
"Abridge Charitable Trust","1077605",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"ACE Centre Advisory Trust","1040868",0,"ACE Centre North","1089313",0,"","2012-03-09","2013-09-08"
"Action For Blind People","205913",0,"Royal National Insitute Of Blind People","226227",0,"2017-11-21","2017-01-04","2018-01-29"
"Action For Blind People","","","Royal National Insitute Of Blind People","226227",0,"2017-01-04","2017-01-04","2017-11-13"
"Staffordshire Blind ","1091458",0,"Royal National Insitute Of Blind People","226227",0,"2017-01-04","2017-01-04","2017-11-13"
"The Blind Society For North Tyneside Limited","1075973",0,"Royal National Insitute Of Blind People","226227",0,"2017-01-04","2017-01-04","2017-11-13"
"Action For Dysphasic Adults","295094",0,"Stroke Association","211015",0,"","2015-01-04","2015-07-22"
"Action For Prisoners' Families","267879",0,"Family Lives","1077722",0,"","2014-09-30","2016-08-07"
"Action For Street Kids","1082810",0,"The Toybox Charity","1084243",0,"2017-05-15","2017-07-09","2017-02-10"
"Ada Milligan","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Addison Pre-School Playgroup","1018982",0,"Addison Pre-School","1142314",0,"","2014-03-02","2014-04-02"
"Adoption Support","1055000",0,"After Adoption","1000888",0,"","2012-01-26","2012-02-16"
"Adsis","1047194",0,"ADS (Addiction Dependency Solutions)","702559",0,"2014-04-04","2014-07-14","2014-04-08"
"Africa Inland Mission International","216355",0,"Africa Inland Mission International","1096364",0,"","2003-01-01","2007-11-30"
"African Caribbean Leukaemia Trust","1058739",0,"African Caribbean Leukaemia Trust","1119516",0,"","2008-10-01","2008-02-14"
"Age Concern Barnsley","502768",0,"Age UK Barnsley","1144123",0,"2012-03-28","2012-02-04","2012-08-06"
"Age Concern Berkshire","226958",0,"Age UK Berkshire","1146462",0,"2012-03-31","2012-01-04","2012-04-26"
"Age Concern Blackburn With Darwen","508513",0,"Age UK Blackburn With Darwen","1143809",0,"","2014-03-31","2014-04-29"
"Age Concern Bromyard and District Limited","1133684",0,"Age Concern Hereford and Localities","1093512",0,"","2010-01-07","2011-08-25"
"Age Concern Buckinghamshire","204798",0,"Age Concern Buckinghamshire","1139423",0,"","2011-01-04","2013-04-06"
"Age Concern Burgess Hill","1103586",0,"Age UK West Sussex","1086323",0,"","2010-03-31","2011-01-31"
"Age Concern Bury","502936",0,"Age UK Bury","1141901",0,"2013-03-31","2013-03-31","2013-05-04"
"Age Concern Cardiff And The Vale Of Glamorgan","260189",0,"Age Concern Cardiff And The Vale Of Glamorgan","1137821",0,"","2012-03-31","2015-11-05"
"Age Concern Central Lancashire","511598",0,"Central Lancashire Age Concern LTD","1130384",0,"","2010-01-03","2012-05-16"
"Age Concern Cheshire","513661",0,"Age Concern Cheshire","1091608",0,"","2002-12-04","2008-06-03"
"Age Concern Chester","519255",0,"Age Concern Cheshire","1091608",0,"","2000-03-31","2008-06-03"
"Age Concern Chichester and District","1092550",0,"Age UK West Sussex","1086323",0,"","2010-03-31","2011-01-31"
"Age Concern Clacton","274798",0,"Tendring Community Voluntary Services","1108177",0,"2017-07-24","2017-08-30","2017-09-21"
"Age Concern Cleethorpes","516911",0,"Age UK North East Lincolnshire","1150939",0,"","2016-05-25","2017-02-10"
"Age Concern Colchester","233113",0,"Age UK Colchester","1142414",0,"","2011-01-08","2011-03-08"
