org_id_a,org_id_b,name
GB-SC-SC000117,GB-COH-SC470156,STIRLING BAPTIST CHURCH
GB-SC-SC000143,GB-COH-SC233565,KINTYRE AGRICULTURAL SOCIETY
GB-SC-SC000156,GB-COH-SC371304,THE LAURANDY CENTRE
GB-SC-SC000175,GB-COH-SC042641,LIVE ACTIVE LEISURE LIMITED
GB-SC-SC000197,GB-COH-SC058254,NORTH EAST OF SCOTLAND MUSIC SCHOOL LIMITED
GB-SC-SC000233,GB-COH-SC097508,ADDICTIONS COUNSELLING INVERNESS
GB-SC-SC000264,GB-COH-SC409397,KINDRED ADVOCACY
GB-SC-SC000296,GB-COH-SC250899,SCOTTISH ENVIRONMENT LINK
GB-SC-SC000299,GB-COH-SC096089,DRUMCHAPEL COMMUNITY BUSINESS LIMITED
GB-SC-SC000310,GB-COH-SC104619,MORAY FIRTH TRAINING GROUP
GB-SC-SC000312,GB-COH-SC085838,CVS FALKIRK & DISTRICT
GB-SC-SC000365,GB-COH-SC123972,INSTITUTE OF OCCUPATIONAL MEDICINE
GB-SC-SC000403,GB-COH-SC249724,VOLUNTEER TUTORS ORGANISATION LTD
GB-SC-SC000431,GB-COH-SC028957,NEW PARK EDUCATIONAL TRUST LIMITED
GB-SC-SC000485,GB-COH-SC377149,WILLIAM SIMPSONS
GB-SC-SC000487,GB-COH-SC093088,DUNDEE VOLUNTEER AND VOLUNTARY ACTION LTD
GB-SC-SC000501,GB-COH-SC125456,YOUTH SCOTLAND
GB-SC-SC000565,GB-COH-SC129898,KINHARVIE
GB-SC-SC000630,GB-COH-SC432115,CITIZENS ADVICE BUREAU WEST LOTHIAN
GB-SC-SC000688,GB-COH-SC207195,STRATHPEFFER COMMUNITY DEVELOPMENT TRUST LIMITED
GB-SC-SC000697,GB-COH-SC226920,NETWORKING KEY SERVICES LIMITED
GB-SC-SC000783,GB-COH-SC280866,HOME-START LORN
GB-SC-SC000788,GB-COH-SC197773,HARRIS VOLUNTARY SERVICE
GB-SC-SC000814,GB-COH-SC374255,HADDINGTON CITIZENS ADVICE BUREAU
GB-SC-SC000843,GB-COH-SC166084,FAMILY AND COMMUNITY DEVELOPMENT WEST LOTHIAN
GB-SC-SC000879,GB-COH-SC298849,LOCHABER SENSORY CARE
GB-SC-SC000951,GB-COH-SC153321,DYSLEXIA SCOTLAND
GB-SC-SC000983,GB-COH-SC217973,CENTRAL BORDERS CITIZENS ADVICE BUREAU
GB-SC-SC000986,GB-COH-SC268665,HOME-START PERTH AND KINROSS LTD
