Old charity number,New charity number,Name
306072,1115974,Townswomen's Guilds
212798,1125383,The Royal Academy Of Arts
1090926,1163457,The Sequoia Trust
1005733,1154288,Human Appeal
287034,1143472,THE SOCIETY FOR MUCOPOLYSACCHARIDE DISEASES
292492,1127488,Restless Development
299430,1160983,KINGSTON BEREAVEMENT SERVICE
1137843,1172212,4LOUIS
1126138,1168451,4X4 RESPONSE
1147623,1162178,A LITTLE BIT OF HOPE
242796,1150207,ABBOTS BROMLEY HOSPITAL
529280,1175704,ACKWORTH SCHOOL
1135429,1180478,ACTS CHURCHES UK
523467,1159173,ADEL PRE-SCHOOL
266346,1173301,ADVENTURE HOLIDAYS
1096908,1175858,AFGHANISTAN & CENTRAL ASIAN ASSOCIATION
313139,1178306,AFRICA EDUCATIONAL TRUST
1020967,1121258,AGAINST BREAST CANCER LIMITED
501537,1122008,AGE CONCERN DURHAM COUNTY
507495,1129973,AGE CONCERN MORGANNWG LIMITED
298339,1177688,AGE CONCERN WINDSOR
242766,1127990,AIREDALE AGRICULTURAL SOCIETY
1018850,1154046,AL-HIJRAH TRUST
1064042,1181497,AL-NOOR INSTITUTE
1072720,1174497,AL RISALAH EDUCATION TRUST
1030009,1173580,ALDERHOLT SUNBEAMS AND SUPERTOTS
1146998,1174871,ALDWICK BAPTIST CHURCH
284187,1173160,ALLEN GARDENS PLAYGROUP
1148041,1174824,ANCHOR CITY CHURCH INTERNATIONAL
1145952,1148574,ANGLIA RUSKIN STUDENTS' UNION
311288,1169461,ANGUISH'S EDUCATIONAL FOUNDATION
215122,1155069,ANNIE SUTTON AND HOULT MEMORIAL HOUSES
214388,230273,ANSHEL PFEFFER TRUST
289976,1173603,ARLINGHAM VICTORY HALL
1112462,1153692,ARMSTRONG SIDDELEY HERITAGE TRUST LTD
900314,1173724,ARTHROS LIMITED
1114127,1176934,ASHA NORTH STAFFORDSHIRE
300222,1180155,ASHENDON VILLAGE HALL
327165,1166459,ASIALINK
803283,1140090,ASIAN PEOPLE'S DISABILITY ALLIANCE LIMITED
288493,1180025,ASSOCIATION FOR HERITAGE INTERPRETATION
1045220,1162874,ASSOCIATION OF ISLAMIC CHARITABLE PROJECTS
1030024,1179422,ASSOCIATION OF UNIVERSITY ADMINISTRATORS
1123891,1168749,AUDIOACTIVE
519458,1159429,AUDLEM PUBLIC HALL
1055570,1175006,AVEBURY PLAYGROUP
1119387,1175832,BALSALL AND BERKSWELL JUBILEE PROJECT
1058045,1174797,BARNET BOROUGH SIGHT IMPAIRED
1148760,1178568,BARNWELL BAPTIST CHURCH
1159561,1178142,BARROW ISLAND COMMUNITY SPORTS TRUST LTD
701417,1166595,BEARPARK COMMUNITY ASSOCIATION
1029927,1181636,BEETLEY AND DISTRICT PRE-SCHOOL
1146718,1175576,BEIS HAMEDRASH IMREI SHEFER LIMITED
290008,1168094,BELLHURST NATURE CONSERVATION TRUST
1112068,1180571,BERMUDA COMMUNITY ASSOCIATION
1040380,1166598,BERWICK YOUTH PROJECT
303090,1160669,BESSINGBY PARK RANGERS FOOTBALL CLUB
303200,1178858,BETHWIN ROAD NEIGHBOURHOOD PLAYGROUND ASSOCIATION
295428,1157672,BEXHILL OLD TOWN PRESERVATION SOCIETY LIMITED
1099006,1178421,BEYOND THE STREETS
1079027,1167177,BIDDESTONE VILLAGE HALL AND RECREATION TRUST
209078,1180758,BIRMINGHAM JEWISH COMMUNITY CARE
1142231,1170171,BIRMINGHAM OPEN SPACES FORUM
1064945,1176955,BIRMINGHAM PEN TRADE HERITAGE ASSOCIATION
1140418,1167964,BLAZE
1127448,1174891,BLOOMSBURY CENTRAL BAPTIST CHURCH
1133946,1179247,BOGNOR REGIS BAPTIST CHURCH
296673,1176724,BOLENOWE ANIMAL SANCTUARY
1136393,1179468,BORTH FAMILY CENTRE
1029120,1171998,BRADBOURNE PARK PRE-SCHOOL
231957,1173985,BRADFORD SAMARITANS
1088047,1138866,BREAST CANCER UK LIMITED
1075345,1180841,BRECON BEACONS PARK SOCIETY
1005207,1172358,BRENTWOOD SCHOOLS CHRISTIAN WORKER TRUST
1092481,1170578,BRIDGE2AID
1151894,1181045,BRIDGNORTH BAPTIST CHURCH
283743,1173302,BRIGHTON FESTIVAL CHORUS
1137437,1171020,BRIGHTON GAY MEN'S CHORUS
277462,1179331,BRISTOL CHILDREN'S PLAYHOUSE LIMITED
313008,1171510,BRITISH FRIENDS OF THE ART MUSEUMS OF ISRAEL
1106218,1179578,BRITISH GAS ENERGY TRUST
1148748,1179328,BRITISH ORTHOPAEDIC RESEARCH SOCIETY
1122686,1173066,BRITISH SIKH COUNCIL UK
289804,1161206,BRITISH SOCIETY FOR MIDDLE EASTERN STUDIES
1146062,1175103,BRIXHAM BAPTIST CHURCH
1050319,1163200,BRIXHAM COMMUNITY CHURCH
1105065,1174311,BROAD HAVEN PLAYGROUP
1084435,1158546,BROOKFIELD SPACEPLACE
1094725,1154732,BROOKSIDE OUT OF SCHOOL CARE CLUB
700579,1169331,BROWN EDGE VILLAGE HALL LIMITED
700010,1177049,BUBWITH LEISURE AND SPORTS CENTRE
1031074,1177997,BURROUGH GREEN PLAYGROUP
522898,1166381,BURTON GREEN VILLAGE HALL
510208,1180329,BURTON HOSPITALS LEAGUE OF FRIENDS
517576,1178752,BUTTERSHAW (ST PAUL'S) CHURCH AMATEUR OPERATIC AND DRAMATIC SOCIETY
1149407,1168084,BUTTERSHAW BAPTIST CHURCH
1030418,1167636,CAEN CATERPILLARS
267371,1114201,CALDECOTE VILLAGE INSTITUTE LIMITED
1061979,1103593,CALVARY CHAPEL WESTMINSTER LIMITED
286098,1179871,CAMBRIDGE RAPE CRISIS CENTRE
1044685,1180646,CAMP SIMCHA
1127789,1179894,CANTERBURY BAPTIST CHURCH
271366,1179661,CAPEL COMMUNITY ASSOCIATION
1097490,1165786,CAPTAIN COOK SCHOOLROOM MUSEUM TRUST
1101478,1170760,CARE OF POLICE SURVIVORS
295490,1170610,CARIBB YOUTH AND COMMUNITY ASSOCIATION
519138,1174982,CARING FOR LIFE
1036725,1177864,CARMEL PLAYGROUP AND TODDLERS
1027838,1176942,CARRICK MIND
299702,1173378,CARRINGTON PRE-SCHOOL
1137274,1142482,CATHOLIC VOICES
1167784,1181257,CAVERSHAM BAPTIST CHURCH
237536,237537,"CHARITY OF GEORGE, LORD RIVERS"
232975,1180337,CHARITY OF ISABELLA SOPHIA LEANDER
243833,1154464,CHARLES EDWARD SUGDEN'S ALMSHOUSES
1028284,1168970,CHASEWELL NURSERY
288139,1166903,CHEDDAR VALLEY COMMUNITY CHURCH
700688,1181355,CHESTER ORCHESTRAL SOCIETY
274325,1172807,CHILD GROWTH FOUNDATION
287866,1155935,CHILDREN IN NEED FUND
1143820,1177221,CHOOSE LIFE THE PRISONERS INITIATIVE
1147114,1174283,CHRIST CHURCH COTTINGHAM
258003,1105851,CHRISTIAN AID
253426,1177663,CHRISTIAN RESPONSIBILITY IN PUBLIC AFFAIRS
233757,1180341,CHURCHES HOUSING AID SOCIETY
245421,1171835,CITY OF CHELMSFORD MENCAP
1167797,1175153,CLARE DALY FOUNDATION
313143,1179639,CLARK FOUNDATION
1067839,1180381,CLAYGATE RECREATION GROUND TRUST
254001,1177471,CLIFFORD CHAMBERS RELIEF IN NEED CHARITIES
1143568,1172545,CLOVERLEAF CHRISTIAN CENTRE
1147633,1171773,CMV ACTION
1049163,1173996,COASTLANDS COMMUNITY CHURCH
1041160,1174604,COLD ASH PRE-SCHOOL
1014569,1176483,COLEY PARK COMMUNITY ASSOCIATION
1106550,1179231,COLNE VALLEY MUSEUM
1102700,1175029,COMBERTON PLAYGROUP
1019309,1154126,CORNERSTONE MINISTRIES
225223,1180835,COTSWOLD PLAYERS
1134765,1180647,COVENTRY SOMALI MUSLIM COMMUNITY TRUST
1077544,1177965,COYTRAHEN COMMUNITY ASSOCIATION
211299,1162419,CPRE HERTFORDSHIRE
1087953,1174869,CRAWLEY COMMUNITY CHURCH
1152794,1179761,CREATEBOLTON
1136344,1175834,CROSSROADS FUN AND FRIENDSHIP CENTRE
1112426,1169056,CROWNWAY COMMUNITY CENTRE
702536,1173203,CROXDALE COMMUNITY ASSOCIATION
1173412,1178733,CUCKFIELD PRESCHOOL PLAYGROUP
1076134,1179237,CUDDLY KOALAS BROUGHTON MOOR PRE-SCHOOL
1086881,1181157,CYLCH MEITHRIN BRO CERNYW
1175138,1181609,CYLCH MEITHRIN CLOCAENOG
1054868,1174022,CYLCH MEITHRIN COED DUON
1092600,1180309,CYLCH MEITHRIN LLANSANNAN
1054323,1179352,CYLCH MEITHRIN YR EIFL
1122784,1179638,DANBURY MISSION CHURCH
510881,1177739,DAWDON YOUTH AND COMMUNITY CENTRE
1135523,1178345,DAWLISH CHRISTIAN FELLOWSHIP
525913,1117339,DELAMERE FOREST SCHOOL LIMITED
1075953,1181263,DERBY CHAMBER MUSIC SOCIETY
228388,1178877,DERBYSHIRE FEDERATION OF WOMEN'S INSTITUTES
1071578,1179302,DERRINGTON MILLENNIUM GREEN TRUST
1138889,1180264,DEVON FREEWHEELERS
517577,1174183,DIPTON COMMUNITY ASSOCIATION
514083,1176578,DISABILITY ARTS CYMRU
1005728,1180287,DISASTER ACTION
1019854,1175179,DISLEY UNDER FIVES
1165920,1181064,DIYYA
259447,1179390,DROYLSDEN LITTLE THEATRE
1014948,1178756,DRUKPA TRUST
1026269,1164590,DUNMORE PRESCHOOL
277394,1167137,DUNSTER SHOW SOCIETY
1150992,1181647,EAST GRINSTEAD STREET PASTORS
1074250,1173900,EAST HOLTON DRIVING CENTRE GROUP OF THE RIDING FOR THE DISABLED ASSOCIATION
1000317,1180168,EAST HORSLEY VILLAGE HALL
206886,1173918,EAST SUFFOLK ASSOCIATION FOR THE BLIND
1060175,1168994,EAST TEIGNBRIDGE COMMUNITY TRANSPORT ASSOCIATION
1064452,1168964,EAST WILLIAMSTON COMMUNITY AND HALL ASSOCIATION
1001654,1171775,EASTBOURNE OPERATIC AND DRAMATIC SOCIETY
1072897,1176549,EASTERLEIGH ANIMAL SANCTUARY
502640,1177355,EASTHAM MEMORIAL HALL
1145264,1174965,EASTSIDE CENTRE LIMITED
209145,1181201,EGYPT DIOCESAN ASSOCIATION
1122027,1179318,ELEPHANTS FOR AFRICA
269793,1181509,EMSWORTH COMMUNITY ASSOCIATION
1039760,1177333,ENDCLIFFE PLAYGROUP
1027774,1156527,ENSTONE PRE-SCHOOL
1051470,1160744,EPPING FOREST HOUSING AID SCHEME
503262,1173704,EREWASH CANAL PRESERVATION AND DEVELOPMENT ASSOCIATION
1093606,1165215,ERITREAN SAHO COMMUNITY ASSOCIATION
301447,1163658,ESSEX BOYS AND GIRLS CLUBS
803742,1171021,ESSEX CHRISTIAN CAMP
215349,1177292,ESSEX PROVINCIAL CHARITY FUND
1094888,1172020,EUROPEAN SOCIETY OF THORACIC SURGEONS
1013288,1126438,EUROVISION MISSION TO EUROPE
1052759,1172868,EXCEL CHURCH
1011410,1158057,EXMOUTH AND DISTRICT COMMUNITY TRANSPORT GROUP
1119866,1177770,EYE HOPE
247875,247876,F HAMEYER POOR FUND (COMMONLY KNOWN AS THE MANSFIELD POOR TRUSTS)
1100304,1141162,FAHAMU TRUST
1037782,1168193,FAMILIES RELIEF
