"reg_number","scale"
200001,National
200002,National and Overseas
200003,National
200004,National
200009,National
200011,National
200012,Local
200014,Local
200016,Local
200017,Regional
200023,Local
200024,Regional
200027,National
200032,National
200034,Local
200036,National
200040,Regional
200041,Local
200043,Local
200044,Local
200047,Local
200048,National
200049,Regional
200050,National and Overseas
200051,National
200053,Local
200054,Local
200055,Local
200056,Local
200057,National
200058,National
200059,Local
200060,National
200062,Local
200064,Local
200068,Local
200069,Regional
200074,Regional
200075,Regional
200076,Regional
200079,Local
200081,Local
200082,Local
200083,Local
200084,Regional
200086,Local
200090,Local
200091,Regional
200093,Regional
200095,Local
200096,Regional
200097,Regional
200098,Local
200103,Local
200104,Local
200107,Local
200109,Local
200110,Local
200114,Local
200116,National and Overseas
200119,Regional
200121,Regional
200123,Local
200124,Local
200125,Local
200126,Local
200127,Local
200128,Local
200137,Local
200140,Local
200143,Local
200144,Regional
200145,Local
200148,Local
200150,Local
200152,Local
200154,Local
200155,Local
200157,Local
200158,Local
200159,Local
200162,National
200163,Local
200164,Local
200165,Local
200166,National
200167,Local
200169,Local
200170,Local
200176,Local
200181,Local
200183,Local
200186,Local
200187,Local
200188,Regional
200190,Local
200198,National
200200,Local
200201,Regional
200203,Local
200204,Local
200205,Local
200210,Local
200212,Local
200213,Local
200214,Local
200216,Local
200220,Regional
200222,Local
200223,Local
200224,Local
200227,Local
200228,Local
200230,Local
200232,Regional
200233,Local
200237,Regional
200239,Regional
200240,National and Overseas
200242,Local
200245,Local
200248,National
200249,Local
200251,Regional
200253,Local
200254,Local
200264,Local
200265,Local
200266,Regional
200267,Local
200270,Local
200272,Local
200274,National
200277,Local
200278,Local
200279,Local
200280,Local
200281,Regional
200282,Regional
200285,Local
200290,Local
200291,Local
200292,Local
200293,Local
200294,Regional
200296,Regional
200298,National
200299,Local
200300,Local
200301,Local
200302,Regional
200303,Regional
200304,Local
200305,Regional
200307,Local
200313,Local
200315,Local
200320,Regional
200322,Local
200327,Local
200330,Local
200332,National
200337,Local
200338,Local
200340,Local
200341,Local
200342,Local
200343,Local
200344,Local
200346,Local
200349,Local
200351,National
200352,Local
200354,Local
200355,Regional
200356,Local
200358,Regional
200359,Local
200360,Local
200363,National
200365,Local
200366,Local
200367,Local
200368,Local
200369,Local
200376,Local
200382,Local
200389,Local
200390,Regional
200394,Local
200395,National
200396,Local
200397,Regional
200399,Local
200400,Regional
200401,Local
200402,Local
200406,Local
200407,Regional
200410,Local
200412,National
200413,National
200415,Regional
200424,Local
200428,Regional
200429,Regional
200430,Regional
200431,Local
200433,Local
200434,Local
200435,National and Overseas
200436,Regional
200439,Local
200441,Regional
200444,Regional
200445,Local
200453,Regional
200455,Local
200456,Local
200462,Local
200463,Regional
200468,National
200469,Regional
200470,Regional
200474,Local
200477,Local
200478,Local
200479,Local
200480,Local
200481,Local
200482,Local
200483,Regional
200485,Regional
200486,Regional
200487,National
200490,Regional
200491,Local
200492,Regional
200496,Local
