Section,Group,Sub-group,Title,Notes
A,,,"Culture, communication and recreation activities",ICNPO Group 1
A,A10,,Culture and arts,
A,A10,A11,Performing and visual arts,"Includes theatres, galleries, music halls, dance studios, agencies promoting arts, etc."
A,A10,A12,"Museums, zoos, parks, historical sites and similar institutions","Excludes libraries, classified as A30, and natural reserves, classified as E10"
A,A10,A19,Culture and arts not elsewhere classfied,
A,A20,,Sports and recreation,
A,A20,A21,Sports activities,"Includes amateur sports associations, agencies promoting sports, etc."
A,A20,A22,Amusement and recreation services,"Includes recreational facilities, but excludes member-serving organizations and social clubs (G13)"
A,A20,A29,Sports and recreation not elsewhere classfied,
A,A30,,Information and communication services,"Includes broadcasting, publishing, libraries, media centres, etc."
A,A90,,Culture and arts services not elsewhere classfied,
B,,,Education services,"ICNPO Group 2 (except research, now classified as K10))"
B,B10,,"Pre-primary, primary and secondary education",
B,B10,B11,Pre-primary education,
B,B10,B12,Primary education,Includes institutions providing basic academic courses for very young children (kindergartens and elementary schools)
B,B10,B13,Secondary education,Includes institutions providing academic courses typically for adolescents who have completed primary education
B,B10,B19,Primary and secondary education not elsewhere classfied,
B,B20,,Higher education,Includes institutions providing advanced academic courses for students who have completed secondary education
B,B20,B21,Colleges and universities,Includes institutions offering four or more years of academic courses leading to an academic degree 
B,B20,B29,Higher education not elsewhere classfied,Includes community colleges and similar institutions not qualifying as B21
B,B30,,Other education,
B,B30,B31,"Technical, vocational and continuing education",
B,B30,B32,Education support services,"Includes testing and academic guidance services, student exchange, etc."
B,B90,,Education services not elsewhere classfied,
C,,,Human health services,ICNPO Group 3
C,C10,,Ambulatory health services,
C,C10,C11,General ambulatory health-care services,Includes institutions providing general health-care services 
C,C10,C12,Specialized outpatient care centres,"Includes family planning, mental health or substance abuse treatment, rehabilitation, etc."
C,C10,C13,Emergency medical response,"Includes ambulance services, Red Cross, Doctors Without Borders, etc."
C,C10,C14,Medical and diagnostic laboratories,"Includes testing labs, kidney dialysis centres, etc."
C,C10,C19,Ambulatory health-care services not elsewhere classfied,
C,C20,,Hospitals,
C,C20,C21,General hospitals,
C,C20,C22,"Specialty, psychiatric and substance abuse hospitals",
C,C20,C29,Hospitals not elsewhere classfied,
C,C30,,Nursing and residential care services,
C,C30,C31,Residential nursing care facilities,"Includes convalescent homes, hospices, residential care and similar institutions providing continuous nursing care"
C,C30,C32,Residential care for the elderly,Includes retirement and assisted living homes for the elderly and similar facilities
C,C30,C39,Nursing and residential care services not elsewhere classfied,
D,,,Social services,"ICNPO Group 4 (includes employment and training, formerly in ICNPO Group 6)"
