major_group,major_group_name,code,name
A,"Arts, Culture & Humanities",A01,Alliances & Advocacy
A,"Arts, Culture & Humanities",A02,Management & Technical Assistance
A,"Arts, Culture & Humanities",A03,Professional Societies & Associations 
A,"Arts, Culture & Humanities",A05,Research Institutes & Public Policy Analysis
A,"Arts, Culture & Humanities",A11,Single Organization Support
A,"Arts, Culture & Humanities",A12,Fund Raising & Fund Distribution
A,"Arts, Culture & Humanities",A19,Support NEC
A,"Arts, Culture & Humanities",A20,Arts & Culture
A,"Arts, Culture & Humanities",A23,Cultural & Ethnic Awareness
A,"Arts, Culture & Humanities",A24,Folk Arts
A,"Arts, Culture & Humanities",A25,Arts Education
A,"Arts, Culture & Humanities",A26,Arts & Humanities Councils & Agencies
A,"Arts, Culture & Humanities",A27,Community Celebrations
A,"Arts, Culture & Humanities",A30,Media & Communications
A,"Arts, Culture & Humanities",A31,Film & Video
A,"Arts, Culture & Humanities",A32,Television
A,"Arts, Culture & Humanities",A33,Printing & Publishing
A,"Arts, Culture & Humanities",A34,Radio
A,"Arts, Culture & Humanities",A40,Visual Arts
A,"Arts, Culture & Humanities",A50,Museums
A,"Arts, Culture & Humanities",A51,Art Museums
A,"Arts, Culture & Humanities",A52,Children's Museums
A,"Arts, Culture & Humanities",A54,History Museums
A,"Arts, Culture & Humanities",A56,Natural History & Natural Science Museums
A,"Arts, Culture & Humanities",A57,Science & Technology Museums
A,"Arts, Culture & Humanities",A60,Performing Arts
A,"Arts, Culture & Humanities",A61,Performing Arts Centers
A,"Arts, Culture & Humanities",A62,Dance
A,"Arts, Culture & Humanities",A63,Ballet
A,"Arts, Culture & Humanities",A65,Theater
A,"Arts, Culture & Humanities",A68,Music
A,"Arts, Culture & Humanities",A69,Symphony Orchestras
A,"Arts, Culture & Humanities",A6A,Opera
A,"Arts, Culture & Humanities",A6B,Singing & Choral Groups
A,"Arts, Culture & Humanities",A6C,Bands & Ensembles
A,"Arts, Culture & Humanities",A6E,Performing Arts Schools
A,"Arts, Culture & Humanities",A70,Humanities
A,"Arts, Culture & Humanities",A80,Historical Organizations
A,"Arts, Culture & Humanities",A82,Historical Societies & Historic Preservation
A,"Arts, Culture & Humanities",A84,Commemorative Events
A,"Arts, Culture & Humanities",A90,Arts Services
A,"Arts, Culture & Humanities",A99,"Arts, Culture & Humanities NEC"
B,Education,B01,Alliances & Advocacy 
B,Education,B02,Management & Technical Assistance 
B,Education,B03,Professional Societies & Associations 
B,Education,B05,Research Institutes & Public Policy Analysis 
B,Education,B11,Single Organization Support 
B,Education,B12,Fund Raising & Fund Distribution 
B,Education,B19,Support NEC
B,Education,B20,Elementary & Secondary Schools
B,Education,B21,Preschools
B,Education,B24,Primary & Elementary Schools
B,Education,B25,Secondary & High Schools
B,Education,B28,Special Education
B,Education,B29,Charter Schools
B,Education,B30,Vocational & Technical Schools
B,Education,B40,Higher Education
B,Education,B41,Two-Year Colleges
B,Education,B42,Undergraduate Colleges
B,Education,B43,Universities
B,Education,B50,Graduate & Professional Schools
B,Education,B60,Adult Education
B,Education,B70,Libraries
B,Education,B80,Student Services
B,Education,B82,Scholarships & Student Financial Aid
B,Education,B83,Student Sororities & Fraternities
B,Education,B84,Alumni Associations
B,Education,B90,Educational Services
B,Education,B92,Remedial Reading & Encouragement
B,Education,B94,Parent & Teacher Groups
B,Education,B99,Education NEC
C,Environment,C01,Alliances & Advocacy 
C,Environment,C02,Management & Technical Assistance 
C,Environment,C03,Professional Societies & Associations 
C,Environment,C05,Research Institutes & Public Policy Analysis 
C,Environment,C11,Single Organization Support 
C,Environment,C12,Fund Raising & Fund Distribution 
C,Environment,C19,Support NEC
C,Environment,C20,Pollution Abatement & Control
C,Environment,C27,Recycling
C,Environment,C30,Natural Resources Conservation & Protection
C,Environment,C32,"Water Resources, Wetlands Conservation & Management"
C,Environment,C34,Land Resources Conservation
C,Environment,C35,Energy Resources Conservation & Development
C,Environment,C36,Forest Conservation
C,Environment,C40,"Botanical, Horticultural & Landscape Services"
C,Environment,C41,Botanical Gardens & Arboreta
C,Environment,C42,Garden Clubs
C,Environment,C50,Environmental Beautification
C,Environment,C60,Environmental Education
C,Environment,C99,Environment NEC
D,Animal-Related,D01,Alliances & Advocacy 
D,Animal-Related,D02,Management & Technical Assistance 
D,Animal-Related,D03,Professional Societies & Associations 
D,Animal-Related,D05,Research Institutes & Public Policy Analysis 
