grid_id,org_id
grid.10306.34,GB-CHC-1021457
grid.11485.39,GB-CHC-1089464
grid.16990.37,GB-CHC-802956
grid.20419.3e,GB-CHC-208728
grid.32509.3d,GB-CHC-314137
grid.43641.34,GB-SC-SC041796
grid.52788.30,GB-CHC-210183
grid.93554.3e,GB-CHC-306371
grid.268943.2,GB-CHC-1015243
grid.410315.2,GB-CHC-287287
grid.410343.1,GB-SC-SC000365
grid.418231.d,GB-CHC-1040650
grid.418543.f,GB-CHC-1080273
grid.418589.9,GB-CHC-327206
grid.419294.3,GB-CHC-1046854
grid.419428.2,GB-CHC-207994
grid.420013.4,GB-SC-SC022515
grid.420306.3,GB-CHC-800733
grid.420331.7,GB-CHC-1070618
grid.420419.a,GB-SC-SC037844
grid.420424.4,GB-SC-SC025818
grid.420583.8,GB-CHC-1184957
grid.421050.2,GB-CHC-251765
grid.421170.1,GB-CHC-210252
grid.421187.9,GB-CHC-278104
grid.421401.2,GB-CHC-327500
grid.421552.5,GB-CHC-1040519
grid.421613.3,GB-CHC-298951
grid.421617.7,GB-CHC-205846
grid.421627.4,GB-CHC-212424
grid.421630.2,GB-CHC-207076
grid.421637.5,GB-CHC-210566
grid.421640.5,GB-CHC-211015
grid.421642.7,GB-CHC-226227
grid.421649.c,GB-CHC-207043
grid.421661.6,GB-CHC-207238
grid.421666.1,GB-CHC-212808
grid.421797.e,GB-CHC-214348
grid.421945.f,GB-CHC-1101332
grid.422148.9,GB-CHC-1128267
grid.422197.b,GB-CHC-1091768
grid.422268.8,GB-CHC-306083
grid.422699.2,GB-CHC-326550
grid.422795.f,GB-CHC-1081247
grid.422903.e,GB-CHC-1042433
grid.422907.a,GB-CHC-1044645
grid.422951.9,GB-CHC-206601
grid.423193.e,GB-CHC-209131
grid.423195.8,GB-CHC-287780
grid.423196.b,GB-CHC-216652
grid.423239.d,GB-CHC-254937
grid.423385.b,GB-CHC-1139856
grid.423435.7,GB-SC-SC011330
grid.423946.e,GB-CHC-1182924
grid.424095.e,GB-CHC-273984
grid.424347.2,GB-CHC-212479
grid.425205.4,GB-CHC-800066
grid.425785.9,GB-CHC-1089106
grid.426173.5,GB-CHC-209706
grid.426412.7,GB-CHC-803716
grid.426478.b,GB-CHC-1149740
grid.426490.d,GB-CHC-208223
grid.426499.4,GB-CHC-274345
grid.427908.0,GB-CHC-1101052
grid.428136.a,GB-CHC-298405
grid.428951.3,GB-CHC-1126281
grid.429487.4,GB-CHC-1122073
grid.431199.7,GB-CHC-215869
grid.431215.0,GB-CHC-277992
grid.431456.1,GB-CHC-207890
grid.431560.5,GB-CHC-264017
grid.432249.a,GB-CHC-296645
grid.432609.a,GB-CHC-251681
grid.432613.1,GB-CHC-1103260
grid.433059.8,GB-CHC-288007
grid.433075.6,GB-CHC-298740
grid.433350.2,GB-CHC-1075611
grid.433515.5,GB-CHC-1001237
grid.433545.0,GB-CHC-1084958
grid.433725.4,GB-CHC-1087471
grid.433943.a,GB-CHC-1000328
grid.434519.e,GB-CHC-1111288
grid.434780.c,GB-CHC-271370
grid.434900.a,GB-CHC-1068852
grid.435073.6,GB-CHC-1128884
grid.435659.8,GB-CHC-1166304
grid.436230.0,GB-CHC-219830
grid.436450.0,GB-SC-SC007410
grid.436596.b,GB-CHC-1144091
grid.436857.b,GB-CHC-225922
grid.436901.9,GB-CHC-271731
grid.437028.a,GB-CHC-202918
grid.437100.1,GB-CHC-247257
grid.437474.7,GB-CHC-209961
grid.437911.9,GB-CHC-208231
grid.438297.3,GB-CHC-1129312
grid.438314.9,GB-CHC-221124
grid.438325.b,GB-CHC-243470
grid.438390.5,GB-CHC-1090451
grid.438396.3,GB-CHC-211014
grid.438399.c,GB-CHC-1076981
grid.438444.b,GB-CHC-1048355
grid.438467.a,GB-CHC-207720
grid.438470.c,GB-CHC-1063609
grid.439054.f,GB-CHC-1073051
grid.439177.f,GB-CHC-509060
grid.439360.b,GB-CHC-1112775
grid.448664.c,GB-SC-SC015600
grid.450119.8,GB-CHC-1038957
grid.450399.2,GB-SC-SC022315
grid.450441.0,GB-CHC-1127712
grid.450692.c,GB-CHC-1042046
grid.450733.6,GB-SC-SC003790
grid.450792.d,GB-CHC-211245
grid.450885.4,GB-CHC-1039417
grid.451312.0,GB-CHC-213890
grid.451409.d,GB-CHC-298028
grid.451427.1,GB-CHC-1135007
grid.452379.e,GB-CHC-206186
grid.452416.0,GB-CHC-1128437
grid.452573.2,GB-CHC-1026588
grid.452921.9,GB-SC-SC004064
grid.452924.c,GB-CHC-225971
grid.452966.a,GB-CHC-1159154
grid.453048.e,GB-CHC-215199
grid.453093.8,GB-SC-SC022918
grid.453104.7,GB-CHC-293074
grid.453145.2,GB-CHC-258197
grid.453156.0,GB-CHC-802364
grid.453177.3,GB-CHC-252660
grid.453182.9,GB-CHC-1100394
grid.453186.d,GB-CHC-208701
grid.453190.a,GB-CHC-1044821
grid.453244.0,GB-CHC-1000739
grid.453248.c,GB-CHC-200051
grid.453264.2,GB-CHC-239281
grid.453270.7,GB-CHC-252892
grid.453271.6,GB-CHC-1140372
grid.453273.4,GB-CHC-1160316
grid.453276.1,GB-CHC-1005541
grid.453283.b,GB-CHC-298582
grid.453287.f,GB-CHC-282042
grid.453295.c,GB-CHC-1139257
grid.453298.1,GB-CHC-1160024
grid.453299.0,GB-CHC-214684
grid.453308.9,GB-CHC-1090968
grid.453382.b,GB-CHC-313865
grid.453385.c,GB-CHC-1056410
grid.453386.f,GB-CHC-326730
grid.453389.0,GB-CHC-1111438
grid.453464.4,GB-SC-SC014959
grid.453466.6,GB-CHC-1077089
grid.453472.3,GB-CHC-1162759
grid.453476.7,GB-CHC-277825
grid.453477.6,GB-CHC-290766
grid.453491.e,GB-CHC-208491
grid.453602.6,GB-CHC-1054015
grid.453604.0,GB-CHC-286967
grid.453616.3,GB-CHC-1170125
grid.453638.f,GB-CHC-233838
grid.453642.2,GB-CHC-1079049
grid.453651.0,GB-CHC-296284
grid.453659.8,GB-CHC-326385
grid.453661.3,GB-CHC-294354
grid.453668.a,GB-CHC-1081766
grid.453674.7,GB-CHC-1154851
grid.453676.5,GB-CHC-1150054
grid.453704.1,GB-CHC-1117148
grid.453708.d,GB-CHC-1170103
grid.453723.4,GB-CHC-1111527
grid.453738.e,GB-CHC-519357
grid.453753.3,GB-CHC-1165672
grid.453949.6,GB-CHC-250556
grid.453958.6,GB-CHC-313376
grid.453961.c,GB-CHC-258474
grid.453973.f,GB-CHC-299955
grid.453974.8,GB-CHC-1084412
grid.453975.9,GB-CHC-1109743
grid.453976.a,GB-CHC-1005735
grid.453979.5,GB-CHC-1089849
grid.453981.2,GB-CHC-1088353
grid.453997.5,GB-CHC-231508
grid.454014.0,GB-CHC-1081241
grid.454063.0,GB-CHC-1156077
grid.454149.9,GB-CHC-700037
grid.458394.7,GB-CHC-1160558
grid.459935.7,GB-CHC-1118646
grid.460229.b,GB-CHC-298104
grid.462151.5,GB-CHC-1060431
grid.464692.b,GB-CHC-800365
grid.465181.f,GB-CHC-1112023
grid.466510.0,GB-CHC-1077106
grid.466548.d,GB-CHC-313219
grid.466549.c,GB-CHC-288859
grid.466684.e,GB-CHC-263894
grid.467012.6,GB-CHC-219099
grid.467037.1,GB-CHC-1059500
grid.467259.b,GB-CHC-1135395
grid.467262.3,GB-CHC-231161
grid.467322.6,GB-CHC-1073015
grid.467568.e,GB-CHC-232492
grid.468251.c,GB-CHC-1161870
grid.468256.b,GB-CHC-1150171
grid.468286.6,GB-CHC-250739
grid.468359.5,GB-CHC-1111816
grid.468409.7,GB-CHC-219279
grid.468441.b,GB-CHC-209603
grid.468489.f,GB-CHC-305992
grid.468490.7,GB-CHC-1119647
grid.468496.1,GB-CHC-273136
grid.468499.e,GB-CHC-256475
grid.468502.d,GB-CHC-269944
grid.468504.b,GB-CHC-1081300
grid.468505.a,GB-CHC-264139
grid.468510.e,GB-CHC-1125867
grid.468513.d,GB-CHC-234715
grid.468514.a,GB-CHC-1060508
grid.468516.8,GB-CHC-262334
grid.468517.9,GB-SC-SC044442
grid.468518.6,GB-CHC-273043
grid.468521.c,GB-CHC-1101971
grid.468523.e,GB-CHC-269697
grid.468526.b,GB-CHC-1002973
grid.468531.d,GB-CHC-312934
grid.468533.f,GB-CHC-802196
grid.468534.8,GB-CHC-1048167
grid.468536.a,GB-CHC-1151015
grid.468539.5,GB-CHC-1034245
grid.468543.8,GB-SC-SC005751
grid.468545.e,GB-CHC-1102391
grid.468550.a,GB-CHC-297269
grid.468551.b,GB-CHC-1091232
grid.468554.e,GB-CHC-270941
grid.468557.d,GB-CHC-209066
grid.468561.8,GB-CHC-1143049
grid.468567.e,GB-CHC-230102
grid.468568.1,GB-CHC-266813
grid.468570.8,GB-CHC-1003825
grid.468580.7,GB-CHC-803016
grid.468582.5,GB-CHC-1119068
grid.468585.2,GB-CHC-1148335
grid.468589.e,GB-CHC-232478
grid.468595.3,GB-CHC-234298
