URN,EstablishmentName,charity_number,company_number,charity_name,active
100001,City of London School for Girls,,,,True
100002,St Paul's Cathedral School,,,,True
100003,City of London School,,,,True
100061,St Christopher's School,,,,True
100062,St Margaret's School,,,,True
100063,Sarum Hall School,312721,00666444,,True
100064,The Hall School,312722,00509427,,True
100065,University College School,,,,True
100066,The Cavendish School,,,,True
100067,"St Mary's School, Hampstead",,,,True
100068,North Bridge House Nursery & Pre-Prep Schools,,02313425,,True
100069,Hereward House School,,,,True
100070,St Anthony's Preparatory School,,04418776,,True
100071,North Bridge Nursery School,,02313425,,False
100072,Lyndhurst House Preparatory School,,,,True
100073,Hampstead Hill School,,,,True
100074,North Bridge House Senior School,,02313425,,True
100075,Trevor-Roberts School,,01534204,,True
100076,South Hampstead High School,306983,00006400,,True
100077,The Village School,,,,True
100078,Heathside Preparatory School,,,,True
100079,Willoughby Hall School,,,,False
100080,Devonshire House Preparatory School,,,,True
100081,Broadhurst School,,,,True
100082,College Francais Bilingue De Londres,1027932,02804123,,True
100083,Royal School Hampstead,,,,False
100084,Fine Arts College,,,,True
100085,Davies's College,,,,False
100086,Rainbow Montessori School,,,,False
100087,The Mulberry House School,,,,True
100088,UCS Pre-Prep,1098657,02873102,,False
100089,The New Learning Centre,,,,False
100090,Southbank International School Hampstead,,02313425,,True
100198,The Pointer School,,,,True
100199,Blackheath Prep,312732,00672569,,True
100200,Riverston School,,,,True
100201,St Olave's Prep School,312734,,,True
100202,Colfe's School,1109650,05352523,,True
100203,Heath House Preparatory School,,,,True
100287,Yesodey Hatorah School,,,,True
100288,Talmud Torah School,312743,,,False
100289,Talmud Torah Yetev Lev,1037631,00276675,,True
100290,Lubavitch House Junior School,,,,False
100291,Bnois Jerusalem Girls School,,,,True
100292,Lubavitch House Senior School,,,,False
100293,Beis Rochel d'Satmar Girls' School,,,,True
100294,Talmud Torah Machzikei Hadass School,,,,True
100295,Beis Malka Girls' School,,,,True
100296,Talmud Torah Chaim Meirim Wiznitz School,,,,True
100297,Mechinah Liyeshivah Zichron Moshe,285298,,,False
100298,Bobov Primary Boys School,,,,True
100299,T T T Y Y School,,,,True
100300,Tayyibah Girls' School,1056343,,,True
100301,Paragon Christian Academy,288179,,,False
100302,Mesifta Talmudical College,312905,,,False
