org_id_a,org_id_b,org_name,relationship,source
GB-CHC-1000611,GB-COH-08591698,DENTON BURN COMMUNITY ASSOCIATION,sameas,"Company Numbers for Charities"
GB-CHC-1001900,GB-COH-07451584,MARYLEBONE BANGLADESH SOCIETY LTD,sameas,"Company Numbers for Charities"
GB-CHC-1002009,GB-COH-12051397,FAMILIES FIRST (NORTH EAST),sameas,"Company Numbers for Charities"
GB-CHC-1002459,GB-COH-08879288,THE ENGINEERING DEVELOPMENT TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1002675,GB-COH-08248116,HALOW (BIRMINGHAM),sameas,"Company Numbers for Charities"
GB-CHC-1007675,GB-COH-06500596,HYSON GREEN YOUTH CLUB,sameas,"Company Numbers for Charities"
GB-CHC-1009787,GB-COH-12238989,ADVOCACY IN GREENWICH,sameas,"Company Numbers for Charities"
GB-CHC-1010782,GB-COH-09653290,THE ETHIOPIAN CHRISTIAN FELLOWSHIP (UK),sameas,"Company Numbers for Charities"
GB-CHC-1011373,GB-COH-12544256,THE TERRYS CROSS TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1013288,GB-COH-06638375,EUROVISION MISSION TO EUROPE,sameas,"Company Numbers for Charities"
GB-CHC-1014678,GB-COH-09810623,HASTINGS BADGER PROTECTION SOCIETY,sameas,"Company Numbers for Charities"
GB-CHC-1016742,GB-COH-07655901,NEWCASTLE CITY CENTRE CHAPLAINCY,sameas,"Company Numbers for Charities"
GB-CHC-1017114,GB-COH-07678253,WEDDINGTON PRE-SCHOOL LTD,sameas,"Company Numbers for Charities"
GB-CHC-1020967,GB-COH-06310215,AGAINST BREAST CANCER LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1021414,GB-COH-08022458,ALL SAINTS PRESCHOOL LEATHERHEAD LTD,sameas,"Company Numbers for Charities"
GB-CHC-1023017,GB-COH-09570675,CHRISTIAN LIFE CHURCH TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1023745,GB-COH-05905512,THE STANLEY MEWS COMMUNITY TRUST LTD,sameas,"Company Numbers for Charities"
GB-CHC-1024624,GB-COH-05460413,RARE CHROMOSOME DISORDER SUPPORT GROUP,sameas,"Company Numbers for Charities"
GB-CHC-1024684,GB-COH-11077841,THE REDEEMED EVANGELICAL MISSION,sameas,"Company Numbers for Charities"
GB-CHC-1025857,GB-COH-14327044,KIMBANGUIST CHARITY LTD,sameas,"Company Numbers for Charities"
GB-CHC-1026065,GB-COH-08319749,SOUTHAM PRIMARY PRE-SCHOOL LTD,sameas,"Company Numbers for Charities"
GB-CHC-1026674,GB-COH-05938512,YIELD LAND TRUST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1029398,GB-COH-08972729,CHALKE VALLEY PLAYSCHOOL LTD,sameas,"Company Numbers for Charities"
GB-CHC-1030273,GB-COH-13991638,WANSTEAD PARK PRESCHOOL LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1030504,GB-COH-06814352,"1ST ALTON MANOR SCOUT GROUP LIMITED",sameas,"Company Numbers for Charities"
GB-CHC-1031426,GB-COH-06613680,CATEY PRE-SCHOOL,sameas,"Company Numbers for Charities"
GB-CHC-1031477,GB-COH-13091437,JAN TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1032260,GB-COH-08676376,HOME-START GREENWICH,sameas,"Company Numbers for Charities"
GB-CHC-1032568,GB-COH-09389303,HOME-START BRACKNELL FOREST,sameas,"Company Numbers for Charities"
GB-CHC-1035575,GB-COH-06635315,EMSCOTE PRE-SCHOOL LTD,sameas,"Company Numbers for Charities"
GB-CHC-1036506,GB-COH-11464068,REDGATE FARM ANIMAL SANCTUARY LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1036577,GB-COH-08501615,OKIKI IMOLE PARISH OF CELESTIAL CHURCH OF CHRIST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1037254,GB-COH-07286061,SRI AUROBINDO SOCIETY (UK) LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1037365,GB-COH-05785621,HOLLAND PARK PRE-SCHOOL,sameas,"Company Numbers for Charities"
GB-CHC-1038816,GB-COH-10964398,SUNNYDAYZ PRE-SCHOOL LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1039823,GB-COH-06949436,CHRISTIAN MEDICAL FELLOWSHIP,sameas,"Company Numbers for Charities"
GB-CHC-1040170,GB-COH-03692018,MURRAY HALL COMMUNITY TRUST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1041515,GB-COH-03900667,VALLEY COMMUNITY THEATRE,sameas,"Company Numbers for Charities"
GB-CHC-1042912,GB-COH-10336438,RELIEF AID LOGISTICS,sameas,"Company Numbers for Charities"
GB-CHC-1043039,GB-COH-05635363,LOGOS THEATRE COMPANY LTD,sameas,"Company Numbers for Charities"
