org_id_a,org_id_b,org_name,relationship,source
GB-CHC-306072,GB-CHC-1115974,Townswomen's Guilds,sameas,"Charity Reregistrations"
GB-CHC-212798,GB-CHC-1125383,The Royal Academy Of Arts,sameas,"Charity Reregistrations"
GB-CHC-1090926,GB-CHC-1163457,The Sequoia Trust,sameas,"Charity Reregistrations"
GB-CHC-1005733,GB-CHC-1154288,Human Appeal,sameas,"Charity Reregistrations"
GB-CHC-287034,GB-CHC-1143472,THE SOCIETY FOR MUCOPOLYSACCHARIDE DISEASES,sameas,"Charity Reregistrations"
GB-CHC-292492,GB-CHC-1127488,Restless Development,sameas,"Charity Reregistrations"
GB-CHC-299430,GB-CHC-1160983,KINGSTON BEREAVEMENT SERVICE,sameas,"Charity Reregistrations"
GB-CHC-1137843,GB-CHC-1172212,4LOUIS,sameas,"Charity Reregistrations"
GB-CHC-1126138,GB-CHC-1168451,4X4 RESPONSE,sameas,"Charity Reregistrations"
GB-CHC-1147623,GB-CHC-1162178,A LITTLE BIT OF HOPE,sameas,"Charity Reregistrations"
GB-CHC-242796,GB-CHC-1150207,ABBOTS BROMLEY HOSPITAL,sameas,"Charity Reregistrations"
GB-CHC-529280,GB-CHC-1175704,ACKWORTH SCHOOL,sameas,"Charity Reregistrations"
GB-CHC-1135429,GB-CHC-1180478,ACTS CHURCHES UK,sameas,"Charity Reregistrations"
GB-CHC-523467,GB-CHC-1159173,ADEL PRE-SCHOOL,sameas,"Charity Reregistrations"
GB-CHC-266346,GB-CHC-1173301,ADVENTURE HOLIDAYS,sameas,"Charity Reregistrations"
GB-CHC-1096908,GB-CHC-1175858,AFGHANISTAN & CENTRAL ASIAN ASSOCIATION,sameas,"Charity Reregistrations"
GB-CHC-313139,GB-CHC-1178306,AFRICA EDUCATIONAL TRUST,sameas,"Charity Reregistrations"
GB-CHC-1020967,GB-CHC-1121258,AGAINST BREAST CANCER LIMITED,sameas,"Charity Reregistrations"
GB-CHC-501537,GB-CHC-1122008,AGE CONCERN DURHAM COUNTY,sameas,"Charity Reregistrations"
GB-CHC-507495,GB-CHC-1129973,AGE CONCERN MORGANNWG LIMITED,sameas,"Charity Reregistrations"
GB-CHC-298339,GB-CHC-1177688,AGE CONCERN WINDSOR,sameas,"Charity Reregistrations"
GB-CHC-242766,GB-CHC-1127990,AIREDALE AGRICULTURAL SOCIETY,sameas,"Charity Reregistrations"
GB-CHC-1018850,GB-CHC-1154046,AL-HIJRAH TRUST,sameas,"Charity Reregistrations"
GB-CHC-1064042,GB-CHC-1181497,AL-NOOR INSTITUTE,sameas,"Charity Reregistrations"
GB-CHC-1072720,GB-CHC-1174497,AL RISALAH EDUCATION TRUST,sameas,"Charity Reregistrations"
GB-CHC-1030009,GB-CHC-1173580,ALDERHOLT SUNBEAMS AND SUPERTOTS,sameas,"Charity Reregistrations"
GB-CHC-1146998,GB-CHC-1174871,ALDWICK BAPTIST CHURCH,sameas,"Charity Reregistrations"
GB-CHC-284187,GB-CHC-1173160,ALLEN GARDENS PLAYGROUP,sameas,"Charity Reregistrations"
GB-CHC-1148041,GB-CHC-1174824,ANCHOR CITY CHURCH INTERNATIONAL,sameas,"Charity Reregistrations"
GB-CHC-1145952,GB-CHC-1148574,ANGLIA RUSKIN STUDENTS' UNION,sameas,"Charity Reregistrations"
GB-CHC-311288,GB-CHC-1169461,ANGUISH'S EDUCATIONAL FOUNDATION,sameas,"Charity Reregistrations"
GB-CHC-215122,GB-CHC-1155069,ANNIE SUTTON AND HOULT MEMORIAL HOUSES,sameas,"Charity Reregistrations"
GB-CHC-214388,GB-CHC-230273,ANSHEL PFEFFER TRUST,sameas,"Charity Reregistrations"
GB-CHC-289976,GB-CHC-1173603,ARLINGHAM VICTORY HALL,sameas,"Charity Reregistrations"
GB-CHC-1112462,GB-CHC-1153692,ARMSTRONG SIDDELEY HERITAGE TRUST LTD,sameas,"Charity Reregistrations"
GB-CHC-900314,GB-CHC-1173724,ARTHROS LIMITED,sameas,"Charity Reregistrations"
GB-CHC-1114127,GB-CHC-1176934,ASHA NORTH STAFFORDSHIRE,sameas,"Charity Reregistrations"
GB-CHC-300222,GB-CHC-1180155,ASHENDON VILLAGE HALL,sameas,"Charity Reregistrations"
GB-CHC-327165,GB-CHC-1166459,ASIALINK,sameas,"Charity Reregistrations"
GB-CHC-803283,GB-CHC-1140090,ASIAN PEOPLE'S DISABILITY ALLIANCE LIMITED,sameas,"Charity Reregistrations"
GB-CHC-288493,GB-CHC-1180025,ASSOCIATION FOR HERITAGE INTERPRETATION,sameas,"Charity Reregistrations"
GB-CHC-1045220,GB-CHC-1162874,ASSOCIATION OF ISLAMIC CHARITABLE PROJECTS,sameas,"Charity Reregistrations"
GB-CHC-1030024,GB-CHC-1179422,ASSOCIATION OF UNIVERSITY ADMINISTRATORS,sameas,"Charity Reregistrations"
GB-CHC-1123891,GB-CHC-1168749,AUDIOACTIVE,sameas,"Charity Reregistrations"
GB-CHC-519458,GB-CHC-1159429,AUDLEM PUBLIC HALL,sameas,"Charity Reregistrations"
GB-CHC-1055570,GB-CHC-1175006,AVEBURY PLAYGROUP,sameas,"Charity Reregistrations"
GB-CHC-1119387,GB-CHC-1175832,BALSALL AND BERKSWELL JUBILEE PROJECT,sameas,"Charity Reregistrations"
GB-CHC-1058045,GB-CHC-1174797,BARNET BOROUGH SIGHT IMPAIRED,sameas,"Charity Reregistrations"
GB-CHC-1148760,GB-CHC-1178568,BARNWELL BAPTIST CHURCH,sameas,"Charity Reregistrations"
GB-CHC-1159561,GB-CHC-1178142,BARROW ISLAND COMMUNITY SPORTS TRUST LTD,sameas,"Charity Reregistrations"
GB-CHC-701417,GB-CHC-1166595,BEARPARK COMMUNITY ASSOCIATION,sameas,"Charity Reregistrations"
GB-CHC-1029927,GB-CHC-1181636,BEETLEY AND DISTRICT PRE-SCHOOL,sameas,"Charity Reregistrations"
GB-CHC-1146718,GB-CHC-1175576,BEIS HAMEDRASH IMREI SHEFER LIMITED,sameas,"Charity Reregistrations"
GB-CHC-290008,GB-CHC-1168094,BELLHURST NATURE CONSERVATION TRUST,sameas,"Charity Reregistrations"
GB-CHC-1112068,GB-CHC-1180571,BERMUDA COMMUNITY ASSOCIATION,sameas,"Charity Reregistrations"
GB-CHC-1040380,GB-CHC-1166598,BERWICK YOUTH PROJECT,sameas,"Charity Reregistrations"
GB-CHC-303090,GB-CHC-1160669,BESSINGBY PARK RANGERS FOOTBALL CLUB,sameas,"Charity Reregistrations"
GB-CHC-303200,GB-CHC-1178858,BETHWIN ROAD NEIGHBOURHOOD PLAYGROUND ASSOCIATION,sameas,"Charity Reregistrations"
GB-CHC-295428,GB-CHC-1157672,BEXHILL OLD TOWN PRESERVATION SOCIETY LIMITED,sameas,"Charity Reregistrations"
GB-CHC-1099006,GB-CHC-1178421,BEYOND THE STREETS,sameas,"Charity Reregistrations"
GB-CHC-1079027,GB-CHC-1167177,BIDDESTONE VILLAGE HALL AND RECREATION TRUST,sameas,"Charity Reregistrations"
GB-CHC-209078,GB-CHC-1180758,BIRMINGHAM JEWISH COMMUNITY CARE,sameas,"Charity Reregistrations"
GB-CHC-1142231,GB-CHC-1170171,BIRMINGHAM OPEN SPACES FORUM,sameas,"Charity Reregistrations"
GB-CHC-1064945,GB-CHC-1176955,BIRMINGHAM PEN TRADE HERITAGE ASSOCIATION,sameas,"Charity Reregistrations"
GB-CHC-1140418,GB-CHC-1167964,BLAZE,sameas,"Charity Reregistrations"
GB-CHC-1127448,GB-CHC-1174891,BLOOMSBURY CENTRAL BAPTIST CHURCH,sameas,"Charity Reregistrations"
