org_id_a,org_id_b,relationship,source
GB-COH-CE008706,GB-CHC-1169028,sameas,CIO Company Numbers
GB-COH-CE012397,GB-CHC-1175853,sameas,CIO Company Numbers
GB-COH-CE001379,GB-CHC-1154584,sameas,CIO Company Numbers
GB-COH-CE015019,GB-CHC-1179758,sameas,CIO Company Numbers
GB-COH-CE011531,GB-CHC-1175052,sameas,CIO Company Numbers
GB-COH-CE004080,GB-CHC-1161593,sameas,CIO Company Numbers
GB-COH-CE005829,GB-CHC-1164774,sameas,CIO Company Numbers
GB-COH-CE006148,GB-CHC-1166389,sameas,CIO Company Numbers
GB-COH-CE014866,GB-CHC-1179539,sameas,CIO Company Numbers
GB-COH-CE016022,GB-CHC-1181314,sameas,CIO Company Numbers
GB-COH-CE003625,GB-CHC-1160733,sameas,CIO Company Numbers
GB-COH-CE012179,GB-CHC-1174596,sameas,CIO Company Numbers
GB-COH-CE015291,GB-CHC-1180173,sameas,CIO Company Numbers
GB-COH-CE014603,GB-CHC-1179141,sameas,CIO Company Numbers
GB-COH-CE012078,GB-CHC-1174448,sameas,CIO Company Numbers
GB-COH-CE004409,GB-CHC-1163288,sameas,CIO Company Numbers
GB-COH-CE001186,GB-CHC-1156468,sameas,CIO Company Numbers
GB-COH-CE009398,GB-CHC-1170769,sameas,CIO Company Numbers
GB-COH-CE011927,GB-CHC-1175471,sameas,CIO Company Numbers
GB-COH-CE005801,GB-CHC-1164721,sameas,CIO Company Numbers
GB-COH-CE013745,GB-CHC-1177872,sameas,CIO Company Numbers
GB-COH-CE014871,GB-CHC-1179546,sameas,CIO Company Numbers
GB-COH-CE011581,GB-CHC-1175126,sameas,CIO Company Numbers
GB-COH-CE003282,GB-CHC-1159257,sameas,CIO Company Numbers
GB-COH-CE009587,GB-CHC-1171054,sameas,CIO Company Numbers
GB-COH-CE007514,GB-CHC-1167641,sameas,CIO Company Numbers
GB-COH-CE014959,GB-CHC-1179672,sameas,CIO Company Numbers
GB-COH-CE003780,GB-CHC-1161028,sameas,CIO Company Numbers
GB-COH-CE010800,GB-CHC-1174301,sameas,CIO Company Numbers
GB-COH-CE000609,GB-CHC-1153050,sameas,CIO Company Numbers
GB-COH-CE004810,GB-CHC-1163783,sameas,CIO Company Numbers
GB-COH-CE012154,GB-CHC-1174558,sameas,CIO Company Numbers
GB-COH-CE007732,GB-CHC-1167999,sameas,CIO Company Numbers
GB-COH-CE002479,GB-CHC-1159617,sameas,CIO Company Numbers
GB-COH-CE014117,GB-CHC-1178412,sameas,CIO Company Numbers
GB-COH-CE002491,GB-CHC-1159638,sameas,CIO Company Numbers
GB-COH-CE001593,GB-CHC-1158191,sameas,CIO Company Numbers
GB-COH-CE005617,GB-CHC-1164390,sameas,CIO Company Numbers
GB-COH-CE012757,GB-CHC-1176406,sameas,CIO Company Numbers
GB-COH-CE008275,GB-CHC-1169729,sameas,CIO Company Numbers
GB-COH-CE015708,GB-CHC-1180857,sameas,CIO Company Numbers
GB-COH-CE008186,GB-CHC-1170163,sameas,CIO Company Numbers
GB-COH-CE014330,GB-CHC-1178789,sameas,CIO Company Numbers
GB-COH-CE015748,GB-CHC-1180915,sameas,CIO Company Numbers
GB-COH-CE014216,GB-CHC-1178525,sameas,CIO Company Numbers
GB-COH-CE014306,GB-CHC-1178658,sameas,CIO Company Numbers
GB-COH-CE010928,GB-CHC-1173214,sameas,CIO Company Numbers
GB-COH-CE012348,GB-CHC-1174854,sameas,CIO Company Numbers
GB-COH-CE005273,GB-CHC-1165320,sameas,CIO Company Numbers
GB-COH-CE011202,GB-CHC-1173653,sameas,CIO Company Numbers
GB-COH-CE000033,GB-CHC-1153248,sameas,CIO Company Numbers
GB-COH-CE006974,GB-CHC-1166140,sameas,CIO Company Numbers
GB-COH-CE014937,GB-CHC-1179642,sameas,CIO Company Numbers
GB-COH-CE015578,GB-CHC-1180632,sameas,CIO Company Numbers
GB-COH-CE013093,GB-CHC-1176930,sameas,CIO Company Numbers
GB-COH-CE011155,GB-CHC-1173579,sameas,CIO Company Numbers
GB-COH-CE002753,GB-CHC-1160666,sameas,CIO Company Numbers
GB-COH-CE006913,GB-CHC-1166037,sameas,CIO Company Numbers
GB-COH-CE015948,GB-CHC-1181214,sameas,CIO Company Numbers
GB-COH-CE012237,GB-CHC-1174690,sameas,CIO Company Numbers
GB-COH-CE009409,GB-CHC-1170793,sameas,CIO Company Numbers
GB-COH-CE014464,GB-CHC-1178986,sameas,CIO Company Numbers
GB-COH-CE015637,GB-CHC-1180735,sameas,CIO Company Numbers
GB-COH-CE014867,GB-CHC-1179541,sameas,CIO Company Numbers
GB-COH-CE007711,GB-CHC-1167967,sameas,CIO Company Numbers
GB-COH-CE002875,GB-CHC-1160189,sameas,CIO Company Numbers
