org_id_a,org_id_b,org_name_b,relationship,source
GB-SC-SC002327,GB-CHC-263710,"Shelter, National Campaign for Homeless People Limited",sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC004252,GB-CHC-247556,Sisters Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC005117,GB-CHC-218186,Leonard Cheshire Disability,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC008010,GB-CHC-227812,Franciscan Missionary Sisters for Africa,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC009359,GB-CHC-214779,The Salvation Army,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC009466,GB-CHC-227848,Society of the Sacred Heart,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC010315,GB-CHC-1084189,British Limbless Ex-Service Men's Association (Blesma),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC011294,GB-CHC-227350,The Congregation of the Holy Spirit and the Immaculate Heart of Mary (British Province),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC024963,GB-CHC-299106,The Central Gifts Committee of the Churches of God,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037479,GB-CHC-295672,Make-a-Wish Foundation UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037480,GB-CHC-1004005,Marine Conservation Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037529,GB-CHC-216032,Bloodwise,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037536,GB-CHC-290356,Mountains Animal Sanctuary,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037554,GB-CHC-258197,Parkinson's Disease Society of the United Kingdom,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037584,GB-CHC-268494,Association for the Study of Animal Behaviour Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037585,GB-CHC-208217,The People's Dispensary for Sick Animals,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037586,GB-CHC-1091105,Meningitis Research Foundation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037594,GB-CHC-1096364,Africa Inland Mission International,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037605,GB-CHC-216250,Barnardo's,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037624,GB-CHC-265464,Tearfund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037654,GB-CHC-207076,Royal Society for the Protection of Birds,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037659,GB-CHC-209640,Royal Observer Corps Benevolent Fund,sameas,Charity Registered in Scotland and England & Wales
