org_id_a,org_id_b,relationship,source
XI-GRID-grid.10306.34,GB-CHC-1021457,sameas,GRID lookup
XI-GRID-grid.11485.39,GB-CHC-1089464,sameas,GRID lookup
XI-GRID-grid.16990.37,GB-CHC-802956,sameas,GRID lookup
XI-GRID-grid.20419.3e,GB-CHC-208728,sameas,GRID lookup
XI-GRID-grid.32509.3d,GB-CHC-314137,sameas,GRID lookup
XI-GRID-grid.43641.34,GB-SC-SC041796,sameas,GRID lookup
XI-GRID-grid.52788.30,GB-CHC-210183,sameas,GRID lookup
XI-GRID-grid.93554.3e,GB-CHC-306371,sameas,GRID lookup
XI-GRID-grid.268943.2,GB-CHC-1015243,sameas,GRID lookup
XI-GRID-grid.410315.2,GB-CHC-287287,sameas,GRID lookup
XI-GRID-grid.410343.1,GB-SC-SC000365,sameas,GRID lookup
XI-GRID-grid.418231.d,GB-CHC-1040650,sameas,GRID lookup
XI-GRID-grid.418543.f,GB-CHC-1080273,sameas,GRID lookup
XI-GRID-grid.418589.9,GB-CHC-327206,sameas,GRID lookup
XI-GRID-grid.419294.3,GB-CHC-1046854,sameas,GRID lookup
XI-GRID-grid.419428.2,GB-CHC-207994,sameas,GRID lookup
XI-GRID-grid.420013.4,GB-SC-SC022515,sameas,GRID lookup
XI-GRID-grid.420306.3,GB-CHC-800733,sameas,GRID lookup
XI-GRID-grid.420331.7,GB-CHC-1070618,sameas,GRID lookup
XI-GRID-grid.420419.a,GB-SC-SC037844,sameas,GRID lookup
XI-GRID-grid.420424.4,GB-SC-SC025818,sameas,GRID lookup
XI-GRID-grid.420583.8,GB-CHC-1184957,sameas,GRID lookup
XI-GRID-grid.421050.2,GB-CHC-251765,sameas,GRID lookup
XI-GRID-grid.421170.1,GB-CHC-210252,sameas,GRID lookup
XI-GRID-grid.421187.9,GB-CHC-278104,sameas,GRID lookup
XI-GRID-grid.421401.2,GB-CHC-327500,sameas,GRID lookup
XI-GRID-grid.421552.5,GB-CHC-1040519,sameas,GRID lookup
XI-GRID-grid.421613.3,GB-CHC-298951,sameas,GRID lookup
XI-GRID-grid.421617.7,GB-CHC-205846,sameas,GRID lookup
XI-GRID-grid.421627.4,GB-CHC-212424,sameas,GRID lookup
XI-GRID-grid.421630.2,GB-CHC-207076,sameas,GRID lookup
XI-GRID-grid.421637.5,GB-CHC-210566,sameas,GRID lookup
XI-GRID-grid.421640.5,GB-CHC-211015,sameas,GRID lookup
XI-GRID-grid.421642.7,GB-CHC-226227,sameas,GRID lookup
XI-GRID-grid.421649.c,GB-CHC-207043,sameas,GRID lookup
XI-GRID-grid.421661.6,GB-CHC-207238,sameas,GRID lookup
XI-GRID-grid.421666.1,GB-CHC-212808,sameas,GRID lookup
XI-GRID-grid.421797.e,GB-CHC-214348,sameas,GRID lookup
XI-GRID-grid.421945.f,GB-CHC-1101332,sameas,GRID lookup
XI-GRID-grid.422148.9,GB-CHC-1128267,sameas,GRID lookup
XI-GRID-grid.422197.b,GB-CHC-1091768,sameas,GRID lookup
XI-GRID-grid.422268.8,GB-CHC-306083,sameas,GRID lookup
XI-GRID-grid.422699.2,GB-CHC-326550,sameas,GRID lookup
XI-GRID-grid.422795.f,GB-CHC-1081247,sameas,GRID lookup
XI-GRID-grid.422903.e,GB-CHC-1042433,sameas,GRID lookup
XI-GRID-grid.422907.a,GB-CHC-1044645,sameas,GRID lookup
XI-GRID-grid.422951.9,GB-CHC-206601,sameas,GRID lookup
XI-GRID-grid.423193.e,GB-CHC-209131,sameas,GRID lookup
XI-GRID-grid.423195.8,GB-CHC-287780,sameas,GRID lookup
XI-GRID-grid.423196.b,GB-CHC-216652,sameas,GRID lookup
XI-GRID-grid.423239.d,GB-CHC-254937,sameas,GRID lookup
XI-GRID-grid.423385.b,GB-CHC-1139856,sameas,GRID lookup
XI-GRID-grid.423435.7,GB-SC-SC011330,sameas,GRID lookup
XI-GRID-grid.423946.e,GB-CHC-1182924,sameas,GRID lookup
XI-GRID-grid.424095.e,GB-CHC-273984,sameas,GRID lookup
XI-GRID-grid.424347.2,GB-CHC-212479,sameas,GRID lookup
XI-GRID-grid.425205.4,GB-CHC-800066,sameas,GRID lookup
XI-GRID-grid.425785.9,GB-CHC-1089106,sameas,GRID lookup
XI-GRID-grid.426173.5,GB-CHC-209706,sameas,GRID lookup
XI-GRID-grid.426412.7,GB-CHC-803716,sameas,GRID lookup
XI-GRID-grid.426478.b,GB-CHC-1149740,sameas,GRID lookup
XI-GRID-grid.426490.d,GB-CHC-208223,sameas,GRID lookup
XI-GRID-grid.426499.4,GB-CHC-274345,sameas,GRID lookup
XI-GRID-grid.427908.0,GB-CHC-1101052,sameas,GRID lookup
XI-GRID-grid.428136.a,GB-CHC-298405,sameas,GRID lookup
XI-GRID-grid.428951.3,GB-CHC-1126281,sameas,GRID lookup
XI-GRID-grid.429487.4,GB-CHC-1122073,sameas,GRID lookup
XI-GRID-grid.431199.7,GB-CHC-215869,sameas,GRID lookup
XI-GRID-grid.431215.0,GB-CHC-277992,sameas,GRID lookup
XI-GRID-grid.431456.1,GB-CHC-207890,sameas,GRID lookup
XI-GRID-grid.431560.5,GB-CHC-264017,sameas,GRID lookup
XI-GRID-grid.432249.a,GB-CHC-296645,sameas,GRID lookup
XI-GRID-grid.432609.a,GB-CHC-251681,sameas,GRID lookup
XI-GRID-grid.432613.1,GB-CHC-1103260,sameas,GRID lookup
XI-GRID-grid.433059.8,GB-CHC-288007,sameas,GRID lookup
XI-GRID-grid.433075.6,GB-CHC-298740,sameas,GRID lookup
XI-GRID-grid.433350.2,GB-CHC-1075611,sameas,GRID lookup
XI-GRID-grid.433515.5,GB-CHC-1001237,sameas,GRID lookup
XI-GRID-grid.433545.0,GB-CHC-1084958,sameas,GRID lookup
XI-GRID-grid.433725.4,GB-CHC-1087471,sameas,GRID lookup
XI-GRID-grid.433943.a,GB-CHC-1000328,sameas,GRID lookup
XI-GRID-grid.434519.e,GB-CHC-1111288,sameas,GRID lookup
XI-GRID-grid.434780.c,GB-CHC-271370,sameas,GRID lookup
XI-GRID-grid.434900.a,GB-CHC-1068852,sameas,GRID lookup
XI-GRID-grid.435073.6,GB-CHC-1128884,sameas,GRID lookup
XI-GRID-grid.435659.8,GB-CHC-1166304,sameas,GRID lookup
XI-GRID-grid.436230.0,GB-CHC-219830,sameas,GRID lookup
XI-GRID-grid.436450.0,GB-SC-SC007410,sameas,GRID lookup
XI-GRID-grid.436596.b,GB-CHC-1144091,sameas,GRID lookup
XI-GRID-grid.436857.b,GB-CHC-225922,sameas,GRID lookup
XI-GRID-grid.436901.9,GB-CHC-271731,sameas,GRID lookup
XI-GRID-grid.437028.a,GB-CHC-202918,sameas,GRID lookup
XI-GRID-grid.437100.1,GB-CHC-247257,sameas,GRID lookup
XI-GRID-grid.437474.7,GB-CHC-209961,sameas,GRID lookup
XI-GRID-grid.437911.9,GB-CHC-208231,sameas,GRID lookup
XI-GRID-grid.438297.3,GB-CHC-1129312,sameas,GRID lookup
XI-GRID-grid.438314.9,GB-CHC-221124,sameas,GRID lookup
XI-GRID-grid.438325.b,GB-CHC-243470,sameas,GRID lookup
XI-GRID-grid.438390.5,GB-CHC-1090451,sameas,GRID lookup
XI-GRID-grid.438396.3,GB-CHC-211014,sameas,GRID lookup
XI-GRID-grid.438399.c,GB-CHC-1076981,sameas,GRID lookup
XI-GRID-grid.438444.b,GB-CHC-1048355,sameas,GRID lookup
XI-GRID-grid.438467.a,GB-CHC-207720,sameas,GRID lookup
XI-GRID-grid.438470.c,GB-CHC-1063609,sameas,GRID lookup
XI-GRID-grid.439054.f,GB-CHC-1073051,sameas,GRID lookup
XI-GRID-grid.439177.f,GB-CHC-509060,sameas,GRID lookup
XI-GRID-grid.439360.b,GB-CHC-1112775,sameas,GRID lookup
XI-GRID-grid.448664.c,GB-SC-SC015600,sameas,GRID lookup
XI-GRID-grid.450119.8,GB-CHC-1038957,sameas,GRID lookup
XI-GRID-grid.450399.2,GB-SC-SC022315,sameas,GRID lookup
XI-GRID-grid.450441.0,GB-CHC-1127712,sameas,GRID lookup
XI-GRID-grid.450692.c,GB-CHC-1042046,sameas,GRID lookup
XI-GRID-grid.450733.6,GB-SC-SC003790,sameas,GRID lookup
XI-GRID-grid.450792.d,GB-CHC-211245,sameas,GRID lookup
XI-GRID-grid.450885.4,GB-CHC-1039417,sameas,GRID lookup
XI-GRID-grid.451312.0,GB-CHC-213890,sameas,GRID lookup
