org_id_b,org_id_a,relationship,source,org_name_b,org_name_a,college_name,note
GB-CHC-1137540,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,CHRIST'S COLLEGE CAMBRIDGE IN THE UNIVERSITY OF CAMBRIDGE FIRST FOUNDED BY KING HENRY VI OF ENGLAND AND AFTER HIS DEATH,Christ's,
GB-CHC-1137476,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,CHURCHILL COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,Churchill,
GB-CHC-1137531,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,CLARE COLLEGE CAMBRIDGE,Clare,
GB-CHC-1137491,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,CLARE HALL IN THE UNIVERSITY OF CAMBRIDGE,Clare Hall,
GB-CHC-1137453,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,COLLEGE OF CORPUS CHRISTI AND OF THE BLESSED VIRGIN MARY IN THE UNIVERSITY OF CAMBRIDGE,Corpus Christi,
GB-CHC-1141105,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,THE MASTER AND FELLOWS OF DARWIN COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,Darwin,
GB-CHC-1137455,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,DOWNING COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,Downing,
GB-CHC-1137456,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,THE MASTER FELLOWS AND SCHOLARS OF EMMANUEL COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,Emmanuel,
GB-CHC-1137496,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,FITZWILLIAM COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,Fitzwilliam,
GB-CHC-1137541,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,GIRTON COLLEGE,Girton,
GB-CHC-1137536,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,GONVILLE AND CAIUS COLLEGE IN THE UNIVERSITY OF CAMBRIDGE FOUNDED IN HONOUR OF THE ANNUNCIATION OF THE BLESSED MARY THE VIRGIN,Gonville and Caius,
GB-CHC-1137497,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,HOMERTON COLLEGE CAMBRIDGE,Homerton,
GB-CHC-1137471,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,HUGHES HALL IN THE UNIVERSITY OF CAMBRIDGE,Hughes Hall,
GB-CHC-1137462,GB-EDU-133801,parent,Oxbridge colleges,University of Cambridge,JESUS COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,Jesus,
