org_name,org_id_a,org_id_b,relationship,source
Abertay University,GB-HESA-0095,GB-SC-SC016040,sameas,University charity numbers
Aberystwyth University,GB-HESA-0177,GB-CHC-1145141,sameas,University charity numbers
Bangor University,GB-HESA-0178,GB-CHC-1141565,sameas,University charity numbers
Cardiff Metropolitan University,GB-HESA-0089,GB-CHC-1140762,sameas,University charity numbers
Cardiff University,GB-HESA-0179,GB-CHC-1136855,sameas,University charity numbers
Edinburgh Napier University,GB-HESA-0107,GB-SC-SC018373,sameas,University charity numbers
Glasgow Caledonian University,GB-HESA-0106,GB-SC-SC021474,sameas,University charity numbers
Glasgow School of Art,GB-HESA-0097,GB-SC-SC012490,sameas,University charity numbers
Glyndŵr University,GB-HESA-0087,GB-CHC-1142048,sameas,University charity numbers
Heriot-Watt University,GB-HESA-0171,GB-SC-SC000278,sameas,University charity numbers
Queen Margaret University,GB-HESA-0100,GB-SC-SC002750,sameas,University charity numbers
Queen's – Belfast,GB-HESA-0184,GB-NIC-101788,sameas,University charity numbers
Robert Gordon University,GB-HESA-0104,GB-SC-SC013781,sameas,University charity numbers
Royal Conservatoire of Scotland,GB-HESA-0101,GB-SC-SC015855,sameas,University charity numbers
Scotland's Rural College,GB-HESA-0175,GB-SC-SC003712,sameas,University charity numbers
Swansea University,GB-HESA-0180,GB-CHC-1138342,sameas,University charity numbers
The Open University,GB-HESA-0001,GB-COH-RC000391,sameas,University charity numbers
University of Ulster,GB-HESA-0185,GB-NIC-100166,sameas,University charity numbers
University of Aberdeen,GB-HESA-0170,GB-SC-SC013683,sameas,University charity numbers
University of Dundee,GB-HESA-0172,GB-SC-SC015096,sameas,University charity numbers
University of Edinburgh,GB-HESA-0167,GB-SC-SC005336,sameas,University charity numbers
University of Glasgow,GB-HESA-0168,GB-SC-SC004401,sameas,University charity numbers
University of South Wales,GB-HESA-0090,GB-CHC-1140312,sameas,University charity numbers
University of St Andrews,GB-HESA-0173,GB-SC-SC013532,sameas,University charity numbers
University of Stirling,GB-HESA-0174,GB-SC-SC011159,sameas,University charity numbers
University of Strathclyde,GB-HESA-0169,GB-SC-SC015263,sameas,University charity numbers
University of the Highlands and Islands,GB-HESA-0196,GB-SC-SC022228,sameas,University charity numbers
University of the West of Scotland,GB-HESA-0105,GB-SC-SC002520,sameas,University charity numbers
The Open University,GB-EDU-133849,GB-SC-SC038302,sameas,University charity numbers
The University of London,GB-EDU-133904,GB-SC-SC041194,sameas,University charity numbers
