RP Code,Company Number,Charity Number,Org ID
C3489,IP24566R,,GB-COH-IP24566R
4758,08604875,,GB-COH-08604875
4811,03191544,1056192,GB-CHC-1056192
LH0391,IP18313R,,GB-COH-IP18313R
L4240,IP28985R,,GB-COH-IP28985R
SL4293,IP29122R,,GB-COH-IP29122R
LH4149,IP28641R,,GB-COH-IP28641R
5094,11567414,,GB-COH-11567414
H0340,00945603,257782,GB-CHC-257782
H0315,00872566,257532,GB-CHC-257532
H3148,IP22810R,,GB-COH-IP22810R
H3162,IP22930R,,GB-COH-IP22930R
H3577,IP24739R,,GB-COH-IP24739R
H3403,IP23673R,,GB-COH-IP23673R
H3680,IP24552R,,GB-COH-IP24552R
H3230,IP22992R,,GB-COH-IP22992R
H0375,00736150,216779,GB-CHC-216779
H1185,00734705,247308,GB-CHC-247308
5066,09008680,1160258,GB-CHC-1160258
H2136,00754594,230902,GB-CHC-230902
H3294,10259078,1168173,GB-CHC-1168173
C3455,IP20588R,,GB-COH-IP20588R
LH2174,01261380,271547,GB-CHC-271547
L4172,03482228,,GB-COH-03482228
L4511,IP030444,,GB-COH-IP030444
LH1722,IP19229R,,GB-COH-IP19229R
SL3605,IP24992R,,GB-COH-IP24992R
4810,08251993,,GB-COH-08251993
L4229,03593345,1141067,GB-CHC-1141067
4660,01548338,511265,GB-CHC-511265
LH3197,IP16190R,,GB-COH-IP16190R
4788,RS032212,,GB-COH-RS032212
LH1388,IP20853R,,GB-COH-IP20853R
45UB,,,GB-LAE-ADU
LH0280,IP21143R,,GB-COH-IP21143R
4836,09901606,,GB-COH-09901606
L0916,IP21084R,,GB-COH-IP21084R
A1632,,230292,GB-CHC-230292
LH3673,IP23535R,,GB-COH-IP23535R
LH3917,IP27003R,,GB-COH-IP27003R
C3719,IP25349R,,GB-COH-IP25349R
A0473,,1076238,GB-CHC-1076238
H0357,00900504,252624,GB-CHC-252624
4741,IP27298R,,GB-COH-IP27298R
C4108,IP28427R,,GB-COH-IP28427R
A2406,,211205,GB-CHC-211205
A3714,,210463,GB-CHC-210463
A3050,,225632,GB-CHC-225632
A1157,,247066,GB-CHC-247066
A2569,,202499,GB-CHC-202499
A2987,,235609,GB-CHC-235609
L1033,IP16317R,,GB-COH-IP16317R
C3186,IP22754R,,GB-COH-IP22754R
C2438,IP21825R,,GB-COH-IP21825R
L4216,03691164,,GB-COH-03691164
LH4095,,1052183,GB-CHC-1052183
4722,04714960,,GB-COH-04714960
C2577,IP22248R,,GB-COH-IP22248R
A2481,,201068,GB-CHC-201068
A3759,07914471,215122,GB-CHC-215122
L4443,IP26395R,,GB-COH-IP26395R
L3713,IP025160,,GB-COH-IP025160
LH0884,IP21451R,,GB-COH-IP21451R
L0249,IP21033R,,GB-COH-IP21033R
C2303,IP21833R,,GB-COH-IP21833R
LH3811,IP23520R,,GB-COH-IP23520R
C3115,IP22252R,,GB-COH-IP22252R
4726,07916785,,GB-COH-07916785
45UC,,,GB-LAE-ARU
C3379,IP23862R,,GB-COH-IP23862R
4724,OC358082,,GB-COH-OC358082
4856,09278078,,GB-COH-09278078
A3257,,1074650,GB-CHC-1074650
37UB,,,GB-LAE-ASH
29UB,,,GB-LAE-ASF
C4133,IP28536R,,GB-COH-IP28536R
4716,06630015,,GB-COH-06630015
C3843,IP25805R,,GB-COH-IP25805R
L4199,RS007660,,GB-COH-RS007660
L4238,IP031218,,GB-COH-IP031218
4731,06736807,,GB-COH-06736807
