org_id_1,org_id_2,name,relationship
GB-SC-SC000117,GB-COH-SC470156,STIRLING BAPTIST CHURCH,scottish charity company number
GB-SC-SC000143,GB-COH-SC233565,KINTYRE AGRICULTURAL SOCIETY,scottish charity company number
GB-SC-SC000156,GB-COH-SC371304,THE LAURANDY CENTRE,scottish charity company number
GB-SC-SC000175,GB-COH-SC042641,LIVE ACTIVE LEISURE LIMITED,scottish charity company number
GB-SC-SC000197,GB-COH-SC058254,NORTH EAST OF SCOTLAND MUSIC SCHOOL LIMITED,scottish charity company number
GB-SC-SC000233,GB-COH-SC097508,ADDICTIONS COUNSELLING INVERNESS,scottish charity company number
GB-SC-SC000264,GB-COH-SC409397,KINDRED ADVOCACY,scottish charity company number
GB-SC-SC000296,GB-COH-SC250899,SCOTTISH ENVIRONMENT LINK,scottish charity company number
GB-SC-SC000299,GB-COH-SC096089,DRUMCHAPEL COMMUNITY BUSINESS LIMITED,scottish charity company number
GB-SC-SC000310,GB-COH-SC104619,MORAY FIRTH TRAINING GROUP,scottish charity company number
GB-SC-SC000312,GB-COH-SC085838,CVS FALKIRK & DISTRICT,scottish charity company number
GB-SC-SC000365,GB-COH-SC123972,INSTITUTE OF OCCUPATIONAL MEDICINE,scottish charity company number
GB-SC-SC000403,GB-COH-SC249724,VOLUNTEER TUTORS ORGANISATION LTD,scottish charity company number
GB-SC-SC000431,GB-COH-SC028957,NEW PARK EDUCATIONAL TRUST LIMITED,scottish charity company number
GB-SC-SC000485,GB-COH-SC377149,WILLIAM SIMPSONS,scottish charity company number
GB-SC-SC000487,GB-COH-SC093088,DUNDEE VOLUNTEER AND VOLUNTARY ACTION LTD,scottish charity company number
GB-SC-SC000501,GB-COH-SC125456,YOUTH SCOTLAND,scottish charity company number
GB-SC-SC000565,GB-COH-SC129898,KINHARVIE,scottish charity company number
GB-SC-SC000630,GB-COH-SC432115,CITIZENS ADVICE BUREAU WEST LOTHIAN,scottish charity company number
GB-SC-SC000688,GB-COH-SC207195,STRATHPEFFER COMMUNITY DEVELOPMENT TRUST LIMITED,scottish charity company number
GB-SC-SC000697,GB-COH-SC226920,NETWORKING KEY SERVICES LIMITED,scottish charity company number
GB-SC-SC000783,GB-COH-SC280866,HOME-START LORN,scottish charity company number
GB-SC-SC000788,GB-COH-SC197773,HARRIS VOLUNTARY SERVICE,scottish charity company number
GB-SC-SC000814,GB-COH-SC374255,HADDINGTON CITIZENS ADVICE BUREAU,scottish charity company number
GB-SC-SC000843,GB-COH-SC166084,FAMILY AND COMMUNITY DEVELOPMENT WEST LOTHIAN,scottish charity company number
GB-SC-SC000879,GB-COH-SC298849,LOCHABER SENSORY CARE,scottish charity company number
GB-SC-SC000951,GB-COH-SC153321,DYSLEXIA SCOTLAND,scottish charity company number
GB-SC-SC000983,GB-COH-SC217973,CENTRAL BORDERS CITIZENS ADVICE BUREAU,scottish charity company number
GB-SC-SC000986,GB-COH-SC268665,HOME-START PERTH AND KINROSS LTD,scottish charity company number
GB-SC-SC001033,GB-COH-SC489331,PARKHEAD CONGREGATIONAL CHURCH,scottish charity company number
GB-SC-SC001050,GB-COH-SC335214,THE GLENCORSE ASSOCIATION,scottish charity company number
GB-SC-SC001099,GB-COH-SC128433,SCOTTISH WOMEN'S AID LIMITED,scottish charity company number
GB-SC-SC001111,GB-COH-SC211924,ABILITY SHETLAND LTD,scottish charity company number
GB-SC-SC001127,GB-COH-SC114680,ISKCON (SCOTLAND) LIMITED,scottish charity company number
GB-SC-SC001142,GB-COH-SC509904,MURRAY LIBRARY,scottish charity company number
GB-SC-SC001205,GB-COH-SC396130,EAST AYRSHIRE WOMEN'S AID,scottish charity company number
GB-SC-SC001282,GB-COH-SC322420,AN COMUNN GAIDHEALACH,scottish charity company number
GB-SC-SC001351,GB-COH-SC062117,WORKSHOP AND ARTISTS STUDIO PROVISION (SCOTLAND) LIMITED,scottish charity company number
GB-SC-SC001354,GB-COH-SC164278,FIFE SOCIETY FOR THE BLIND,scottish charity company number
GB-SC-SC001360,GB-COH-SC229797,HOME LINK FAMILY SUPPORT,scottish charity company number
GB-SC-SC001460,GB-COH-SC118101,KYLEAKIN CONNECTIONS LIMITED,scottish charity company number
GB-SC-SC001481,GB-COH-SC651756,MONIMAIL TOWER PROJECT LTD,scottish charity company number
GB-SC-SC001499,GB-COH-SC140322,GLASGOW CITY MISSION,scottish charity company number
GB-SC-SC001514,GB-COH-SC038440,HANSEL FOUNDATION,scottish charity company number
GB-SC-SC001528,GB-COH-SC154183,VOLUNTARY GROUPS SUTHERLAND,scottish charity company number
GB-SC-SC001539,GB-COH-SC075443,SCOTTISH BAROQUE ENSEMBLE LIMITED,scottish charity company number
GB-SC-SC001583,GB-COH-SC350506,BORDERS ANIMAL WELFARE ASSOCIATION,scottish charity company number
GB-SC-SC001586,GB-COH-SC094927,CRAIGIE DEVELOPMENT LIMITED,scottish charity company number
GB-SC-SC001723,GB-COH-SC262056,ARCHAEOLOGY SCOTLAND,scottish charity company number
GB-SC-SC001738,GB-COH-SC282019,RENFREWSHIRE CITIZENS ADVICE BUREAU,scottish charity company number
GB-SC-SC001790,GB-COH-SC131185,GRANGEMOUTH CARERS LIMITED,scottish charity company number
GB-SC-SC001823,GB-COH-SC396286,GRAMPIAN REGIONAL EQUALITY COUNCIL LTD,scottish charity company number
GB-SC-SC001839,GB-COH-SC493971,CLACKMANNANSHIRE CITIZENS ADVICE BUREAU LIMITED,scottish charity company number
GB-SC-SC001919,GB-COH-SC365590,LOOK WHO'S LEARNING LTD,scottish charity company number
GB-SC-SC001963,GB-COH-SC435841,GUILD OF PLAYERS,scottish charity company number
GB-SC-SC001967,GB-COH-SC054995,SPIRITUAL ASSEMBLY OF THE BAHA'IS OF GLASGOW,scottish charity company number
GB-SC-SC002040,GB-COH-SC130071,FEISEAN NAN GAIDHEAL,scottish charity company number
GB-SC-SC002072,GB-COH-SC180643,MINDSPACE LIMITED,scottish charity company number
GB-SC-SC002223,GB-COH-SC165004,INSTANT NEIGHBOUR ABERDEEN,scottish charity company number
GB-SC-SC002280,GB-COH-SC135696,FAIR LIMITED,scottish charity company number
GB-SC-SC002364,GB-COH-SC339514,SOUTH AYRSHIRE WOMEN'S AID,scottish charity company number
GB-SC-SC002368,GB-COH-SC076037,TRAVERSE THEATRE (SCOTLAND) LIMITED,scottish charity company number
GB-SC-SC002388,GB-COH-SC297890,MONKLANDS WOMEN'S AID,scottish charity company number
GB-SC-SC002404,GB-COH-SC123174,EDINBURGH SCULPTURE WORKSHOP LIMITED,scottish charity company number
GB-SC-SC002491,GB-COH-SC215070,ANNEXE COMMUNITIES,scottish charity company number
GB-SC-SC002525,GB-COH-SC155843,GLASGOW MEDIA ACCESS CENTRE LIMITED,scottish charity company number
