Name,HESA ID,OrgID
Abertay University,95,GB-SC-SC016040
Aberystwyth University,177,GB-CHC-1145141
Bangor University,178,GB-CHC-1141565
Cardiff Metropolitan University,89,GB-CHC-1140762
Cardiff University,179,GB-CHC-1136855
Edinburgh Napier University,107,GB-SC-SC018373
Glasgow Caledonian University,106,GB-SC-SC021474
Glasgow School of Art,97,GB-SC-SC012490
Glyndŵr University,87,GB-CHC-1142048
Heriot-Watt University,171,GB-SC-SC000278
Queen Margaret University,100,GB-SC-SC002750
Queen's – Belfast,184,GB-NIC-101788 
Robert Gordon University,104,GB-SC-SC013781
Royal Conservatoire of Scotland,101,GB-SC-SC015855
Scotland's Rural College,175,GB-SC-SC003712
Swansea University,180,GB-CHC-1138342
The Open University,1,GB-COH-RC000391
Ulster,185,GB-NIC-100166
University of Aberdeen,170,GB-SC-SC013683
University of Dundee,172,GB-SC-SC015096
University of Edinburgh,167,GB-SC-SC005336
University of Glasgow,168,GB-SC-SC004401
University of South Wales,90,GB-CHC-1140312
University of St Andrews,173,GB-SC-SC013532
University of Stirling,174,GB-SC-SC011159
University of Strathclyde,169,GB-SC-SC015263
University of the Highlands and Islands,196,GB-SC-SC022228
University of the West of Scotland,105,GB-SC-SC002520
