URN,Name,CompanyNumber
133905,Birkbeck College,RC000048
133897,Brunel University,RC000079
133815,City University,RC000121
133848,Cranfield University,RC000151
135411,Heythrop College,RC000219
133887,"Imperial College of Science, Technology and Medicine",RC000231
133906,Institute of Education,RC000718
133874,King's College London,RC000297
133860,London Business School,RC000721
133834,Loughborough University,RC000332
133813,Queen Mary and Westfield College,RC000710
133861,Royal Academy of Music,RC000438
133888,Royal College of Music,RC000458
133907,School of Oriental and African Studies,RC000541
133849,The Open University,RC000391
133859,The Royal Veterinary College,RC000532
133902,University College London,RC000631
133789,University of Bath,RC000644
133784,University of Birmingham,RC000645
133791,University of Bradford,RC000647
133799,University of Bristol,RC000648
135414,University of Buckingham,RC000730
133812,University of Durham,RC000650
133853,University of East Anglia,RC000651
133805,University of Essex,RC000652
133817,University of Exeter,RC000653
133824,University of Hull,RC000654
133883,University of Keele,RC000655
133807,University of Kent,RC000656
133831,University of Lancaster,RC000657
133839,University of Leeds,RC000658
133832,University of Leicester,RC000659
133829,University of Liverpool,RC000660
133904,University of London,RC000661
133842,University of Manchester,RC000797
133846,University of Manchester,RC000797
133856,University of Nottingham,RC000664
133870,University of Reading,RC000665
133845,University of Salford,RC000666
133872,University of Sheffield,RC000667
133879,University of Southampton,RC000668
133820,University of Surrey,RC000671
133795,University of Sussex,RC000672
133809,University of Warwick,RC000678
133913,University of York,RC000679
